 Alfa,Temperatura,Energia,Energia2,Cv,magnetFerro,magnetFerro2,magnetFerro4,susceptFerro,cumulantFerro,magnetAnti,magnetAnti2,magnetAnti4,susceptAnti,cumulantAnti 
    1.00000000     ,   2.26909995     ,  -1.4854060000000000      ,   3.0387170000000001      ,  0.16164613637160150      ,  0.75420870672607421      ,  0.56915785022103782      ,  0.32467371014182267      ,   1.4414389818339998E-004 ,  0.66591235613094568      ,   2.3969441528320311E-003 ,   9.3132727518677719E-006 ,   2.8207976851191142E-010 ,   1.5723993994615017E-006 ,  -8.4041785482920517E-002
   1.00000000     ,   2.26910496     ,  -1.4854060000000000      ,   3.0387170000000001      ,  0.16164542945600141      ,  0.75420870672607421      ,  0.56915785022103782      ,  0.32467371014182267      ,   1.4414358625854226E-004 ,  0.66591235613094568      ,   2.3969441528320311E-003 ,   9.3132727518677719E-006 ,   2.8207976851191142E-010 ,   1.5723959968168865E-006 ,  -8.4041785482920517E-002
   1.00000000     ,   2.26911497     ,  -1.4854060000000000      ,   3.0387170000000001      ,  0.16164399082074515      ,  0.75420870672607421      ,  0.56915785022103782      ,  0.32467371014182267      ,   1.4414294291352318E-004 ,  0.66591235613094568      ,   2.3969441528320311E-003 ,   9.3132727518677719E-006 ,   2.8207976851191142E-010 ,   1.5723889788623674E-006 ,  -8.4041785482920517E-002
   1.00000000     ,   2.26919508     ,  -1.4852415000000001      ,   3.0384205000000000      ,  0.16166990127171860      ,  0.75406783770751951      ,  0.56894701535689829      ,  0.32443727615059165      ,   1.4485818598195164E-004 ,  0.66590817796344648      ,   2.3961648559570311E-003 ,   9.3137883618474007E-006 ,   2.8279543993048328E-010 ,   1.5742067651095016E-006 ,  -8.6671819090450075E-002
   1.00000000     ,   2.26920009     ,  -1.4855030000000000      ,   3.0388970000000000      ,  0.16161087798769666      ,  0.75432251843261722      ,  0.56933833789426092      ,  0.32489643977445365      ,   1.4801519118408626E-004 ,  0.66589511322982009      ,   2.3958728027343749E-003 ,   9.3114820122718807E-006 ,   2.8256223695155567E-010 ,   1.5738037376138007E-006 ,  -8.6313647067008503E-002
  -3.00000000     ,   2.26910496     ,  -5.4854060000000002      ,   30.921965000000000      ,  0.16164542945600099      ,   6.9042279052734378E-004 ,   9.3132727518677719E-006 ,   2.8207976851191142E-010 ,   3.8943061095342467E-006 ,  -8.4041785482920517E-002 ,  0.75420870672607421      ,  0.56915785022103782      ,  0.32467371014182267      ,   1.4414358625854226E-004 ,  0.66591235613094568     
  -3.00000000     ,   2.26910996     ,  -5.4854060000000002      ,   30.921965000000000      ,  0.16164471013837284      ,   6.9042279052734378E-004 ,   9.3132727518677719E-006 ,   2.8207976851191142E-010 ,   3.8942974189552786E-006 ,  -8.4041785482920517E-002 ,  0.75420870672607421      ,  0.56915785022103782      ,  0.32467371014182267      ,   1.4414326458603272E-004 ,  0.66591235613094568     
   1.00000000     ,   2.26910996     ,  -1.4854060000000000      ,   3.0387170000000001      ,  0.16164471013837328      ,  0.75420870672607421      ,  0.56915785022103782      ,  0.32467371014182267      ,   1.4414326458603272E-004 ,  0.66591235613094568      ,   2.3969441528320311E-003 ,   9.3132727518677719E-006 ,   2.8207976851191142E-010 ,   1.5723924878396268E-006 ,  -8.4041785482920517E-002
   1.00000000     ,   2.26912498     ,  -1.4854060000000000      ,   3.0387170000000001      ,  0.16164257698954501      ,  0.75420870672607421      ,  0.56915785022103782      ,  0.32467371014182267      ,   1.4414230931615590E-004 ,  0.66591235613094568      ,   2.3969441528320311E-003 ,   9.3132727518677719E-006 ,   2.8207976851191142E-010 ,   1.5723820672404928E-006 ,  -8.4041785482920517E-002
   1.00000000     ,   2.26911998     ,  -1.4854060000000000      ,   3.0387170000000001      ,  0.16164329630717314      ,  0.75420870672607421      ,  0.56915785022103782      ,  0.32467371014182267      ,   1.4414263098866544E-004 ,  0.66591235613094568      ,   2.3969441528320311E-003 ,   9.3132727518677719E-006 ,   2.8207976851191142E-010 ,   1.5723855762177522E-006 ,  -8.4041785482920517E-002
  -3.00000000     ,   2.26909995     ,  -5.4854060000000002      ,   30.921965000000000      ,  0.16164613637160105      ,   6.9042279052734378E-004 ,   9.3132727518677719E-006 ,   2.8207976851191142E-010 ,   3.8943145367623368E-006 ,  -8.4041785482920517E-002 ,  0.75420870672607421      ,  0.56915785022103782      ,  0.32467371014182267      ,   1.4414389818339998E-004 ,  0.66591235613094568     
   1.00000000     ,   2.26912999     ,  -1.4854060000000000      ,   3.0387170000000001      ,  0.16164187007394495      ,  0.75420870672607421      ,  0.56915785022103782      ,  0.32467371014182267      ,   1.4414199739129819E-004 ,  0.66591235613094568      ,   2.3969441528320311E-003 ,   9.3132727518677719E-006 ,   2.8207976851191142E-010 ,   1.5723786645958774E-006 ,  -8.4041785482920517E-002
   1.00000000     ,   2.26914501     ,  -1.4854060000000000      ,   3.0387170000000001      ,  0.16163972452308861      ,  0.75420870672607421      ,  0.56915785022103782      ,  0.32467371014182267      ,   1.4414104212142137E-004 ,  0.66591235613094568      ,   2.3969441528320311E-003 ,   9.3132727518677719E-006 ,   2.8207976851191142E-010 ,   1.5723682439967433E-006 ,  -8.4041785482920517E-002
   1.00000000     ,   2.26915002     ,  -1.4854060000000000      ,   3.0387170000000001      ,  0.16163900520546046      ,  0.75420870672607421      ,  0.56915785022103782      ,  0.32467371014182267      ,   1.4414072044891183E-004 ,  0.66591235613094568      ,   2.3969441528320311E-003 ,   9.3132727518677719E-006 ,   2.8207976851191142E-010 ,   1.5723647350194839E-006 ,  -8.4041785482920517E-002
