Temperatura MagneticField Magnetization Magnetization2
1 0.002475 0.002460188 9.845326e-06
1 0.00495 0.004948259 2.828479e-05
1 0.007425 0.007429629 5.899633e-05
1 0.0099 0.00989895 0.0001017935
1 0.012375 0.01238255 0.0001571479
1 0.01485 0.01485681 0.0002244972
1 0.017325 0.01733165 0.0003042055
1 0.0198 0.01979287 0.0003955888
1 0.022275 0.02225513 0.0004991057
1 0.02475 0.02475428 0.0006165696
1 0.027225 0.02722608 0.0007450587
1 0.0297 0.02968866 0.0008851958
1 0.032175 0.03216404 0.001038321
1 0.03465 0.03463554 0.001203409
1 0.037125 0.03711037 0.001381012
1 0.0396 0.03957005 0.001569607
1 0.042075 0.04205437 0.001772369
1 0.04455 0.04452558 0.001986328
1 0.047025 0.04697984 0.00221093
1 0.0495 0.04946302 0.002450432
1 0.051975 0.05192968 0.002700487
1 0.05445 0.05439057 0.002962195
1 0.056925 0.05686547 0.003237483
1 0.0594 0.05932717 0.003523509
1 0.061875 0.06179651 0.003822579
1 0.06435 0.06425805 0.004132878
1 0.066825 0.06671824 0.00445517
1 0.0693 0.06918903 0.004790928
1 0.071775 0.0716522 0.00513781
1 0.07425 0.07410848 0.005495876
1 0.076725 0.07657069 0.005866844
1 0.0792 0.07903488 0.006250284
1 0.081675 0.08148938 0.006644328
1 0.08415 0.08396843 0.007054462
1 0.086625 0.08641291 0.007470973
1 0.0891 0.08884321 0.007896883
1 0.091575 0.09132973 0.008344902
1 0.09405 0.09377025 0.008796639
1 0.096525 0.0962233 0.009262726
1 0.099 0.09867844 0.009741196
1 0.102475 0.1021264 0.01043356
1 0.10495 0.1045744 0.01093955
1 0.107425 0.1070214 0.01145733
1 0.1099 0.1094604 0.01198535
1 0.112375 0.1119043 0.01252636
1 0.11485 0.1143404 0.01307746
1 0.117325 0.1167778 0.01364081
1 0.1198 0.1192364 0.01422112
1 0.122275 0.1216637 0.01480581
1 0.12475 0.1241099 0.01540702
1 0.127225 0.126546 0.01601764
1 0.1297 0.1289751 0.01663834
1 0.132175 0.1314184 0.01727455
1 0.13465 0.133842 0.01791742
1 0.137125 0.1362735 0.01857418
1 0.1396 0.1386971 0.01924062
1 0.142075 0.1411202 0.01991864
1 0.14455 0.1435419 0.020608
1 0.147025 0.1459707 0.02131116
1 0.1495 0.1483824 0.02202105
1 0.151975 0.1508183 0.02274988
1 0.15445 0.1532438 0.02348735
1 0.156925 0.1556427 0.02422836
1 0.1594 0.1580615 0.02498711
1 0.161875 0.1604893 0.02576055
1 0.16435 0.1628913 0.02653733
1 0.166825 0.165299 0.02732746
1 0.1693 0.1676981 0.02812637
1 0.171775 0.1701103 0.02894121
1 0.17425 0.172511 0.02976371
1 0.176725 0.1748981 0.03059305
1 0.1792 0.177319 0.03144573
1 0.181675 0.1797044 0.03229735
1 0.18415 0.182093 0.03316158
1 0.186625 0.1844889 0.03403986
1 0.1891 0.1868809 0.03492817
1 0.191575 0.1892509 0.0358196
1 0.19405 0.1916561 0.03673573
1 0.196525 0.1940331 0.03765253
1 0.199 0.1964068 0.03857927
0.5 0.002475 0.004951469 2.835089e-05
0.5 0.00495 0.009886514 0.0001015552
0.5 0.007425 0.01485137 0.0002243826
0.5 0.0099 0.01980398 0.0003959878
