Temp,B-Field, AverMagnetization, AverMagnetization^2, Suceptibility, Cumulant,AverEnergy, AverEnergy^2, C_v
   1.00000000     ,   2.47499999E-03 ,   2.4601875305175782E-003 ,   9.8453262541443108E-006 ,   3.7928035688301310E-006 ,  0.25053519360059939      ,  -2.0000029847594152      ,   4.0000119390522793      ,   5.7100990602521051E-012
   1.00000000     ,   4.94999997E-03 ,   4.9482589721679690E-003 ,   2.8284785156138241E-005 ,   3.7995183004974359E-006 ,  0.49963061921776608      ,  -2.0000122470561492      ,   4.0000489883976176      ,   2.3030466422824247E-011
   1.00000000     ,   7.42499996E-03 ,   7.4296289062500001E-003 ,   5.8996333234244956E-005 ,   3.7969475496593843E-006 ,  0.58355267699959890      ,  -2.0000275227091660      ,   4.0001100916463734      ,   5.2209792045232462E-011
   1.00000000     ,   9.89999995E-03 ,   9.8989497375488282E-003 ,   1.0179346078424715E-004 ,   3.8042548777291309E-006 ,  0.61777566738132461      ,  -2.0000490002619040      ,   4.0001960035418485      ,   9.3206331541750842E-011
   1.00000000     ,   1.23749999E-02 ,   1.2382545013427735E-002 ,   1.5714794885134323E-004 ,   3.8205278417791837E-006 ,  0.63469433480151383      ,  -2.0000765573749302      ,   4.0003062355069963      ,   1.4624390587414382E-010
   1.00000000     ,   1.48499999E-02 ,   1.4856807403564452E-002 ,   2.2449722813093105E-004 ,   3.7725019043235259E-006 ,  0.64443479885854371      ,  -2.0001103715512225      ,   4.0004414985947712      ,   2.0800161593115263E-010
   1.00000000     ,   1.73249990E-02 ,   1.7331647186279296E-002 ,   3.0420553007163106E-004 ,   3.8195358819679897E-006 ,  0.65005681878059618      ,  -2.0001501347392270      ,   4.0006005617842995      ,   2.8695179565829676E-010
   1.00000000     ,   1.97999999E-02 ,   1.9792872924804687E-002 ,   3.9558878683135847E-004 ,   3.8309682138920045E-006 ,  0.65381931518322201      ,  -2.0001960097091391      ,   4.0007840776326598      ,   3.7629721560961116E-010
   1.00000000     ,   2.22750008E-02 ,   2.2255131149291993E-002 ,   4.9910569201165340E-004 ,   3.8148295394666194E-006 ,  0.65651757602921523      ,  -2.0002478662005574      ,   4.0009915267129506      ,   4.7306780714961860E-010
   1.00000000     ,   2.47499999E-02 ,   2.4754278717041014E-002 ,   6.1656956990831528E-004 ,   3.7952551073655843E-006 ,  0.65849511118333837      ,  -2.0003063952083955      ,   4.0012256752929503      ,   5.8134475011684117E-010
   1.00000000     ,   2.72249989E-02 ,   2.7226076049804687E-002 ,   7.4505866898107339E-004 ,   3.7994519113250611E-006 ,  0.65988518249512851      ,  -2.0003706151990994      ,   4.0014825988559748      ,   7.0395156370750556E-010
   1.00000000     ,   2.96999998E-02 ,   2.9688655395507812E-002 ,   8.8519580364925790E-004 ,   3.7795444560428373E-006 ,  0.66098855933692713      ,  -2.0004408157642777      ,   4.0017634582092043      ,   8.3355544688856753E-010
   1.00000000     ,   3.21750008E-02 ,   3.2164042816162107E-002 ,   1.0383208864880725E-003 ,   3.7952362081632857E-006 ,  0.66179913354354403      ,  -2.0005174400694470      ,   4.0020700290043107      ,   9.8229691047890810E-010
