 Alfa,posDsty,Temperatura,Energia,Cv,magnetANTI,SusceptAnti,cumulantAnti,magnetFerro,SusceptFerro,cumulantFerro
  -1.00000000     ,  0.500000000     ,   2.69999990E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9814749999999298E-002 ,  0.854268789     ,  -1.17066018E-02 ,   1.9596999960532411E-002 ,  0.829185545     ,  -8.34415015E-03
  -1.00000000     ,  0.500000000     ,   2.79999978E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9716499999999217E-002 ,  0.802793384     ,  -3.28307389E-04 ,   2.0060249959863722E-002 ,  0.815734923     ,   5.56926290E-03
  -1.00000000     ,  0.500000000     ,   2.89999967E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9905249999999219E-002 ,  0.782846332     ,   6.56338735E-03 ,   1.9748249973403291E-002 ,  0.790408731     ,  -2.80398000E-02
  -1.00000000     ,  0.500000000     ,   2.99999985E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9836249999999264E-002 ,  0.758212745     ,  -1.28740733E-02 ,   1.9827999971201642E-002 ,  0.760584772     ,  -4.14902717E-02
  -1.00000000     ,  0.500000000     ,   3.09999974E-04 ,  -2.0000000000000000      ,   0.00000000     ,   2.0048249999999195E-002 ,  0.756583273     ,   5.42666344E-03 ,   2.0133999979635702E-002 ,  0.741942108     ,   1.63689721E-02
  -1.00000000     ,  0.500000000     ,   3.19999992E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9829249999999302E-002 ,  0.696387410     ,   2.60375664E-02 ,   1.9624999960931019E-002 ,  0.684755862     ,   2.37576645E-02
  -1.00000000     ,  0.500000000     ,   3.29999981E-04 ,  -2.0000000000000000      ,   0.00000000     ,   2.0045749999999148E-002 ,  0.688309968     ,   1.32477209E-02 ,   2.0009749962436034E-002 ,  0.698971331     ,   6.04569027E-03
  -1.00000000     ,  0.500000000     ,   3.39999970E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9733499999999286E-002 ,  0.653324246     ,   7.56148016E-04 ,   2.0031249952595680E-002 ,  0.668826222     ,   1.30305868E-02
  -1.00000000     ,  0.500000000     ,   3.49999988E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9862249999999231E-002 ,  0.643101215     ,  -8.48257169E-03 ,   2.0015249968552962E-002 ,  0.649583340     ,   1.42435553E-02
  -1.00000000     ,  0.500000000     ,   3.59999976E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9862249999999256E-002 ,  0.632813692     ,  -9.87516716E-03 ,   2.0321499965991825E-002 ,  0.646792829     ,  -5.57464641E-03
  -1.00000000     ,  0.500000000     ,   3.69999994E-04 ,  -2.0000000000000000      ,   0.00000000     ,   2.0304749999999247E-002 ,  0.627071619     ,   1.11261262E-02 ,   2.0067249958915637E-002 ,  0.595932007     ,   2.82156430E-02
  -1.00000000     ,  0.500000000     ,   3.79999983E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9796499999999332E-002 ,  0.594134450     ,  -2.83290278E-02 ,   2.0204499968886375E-002 ,  0.603837371     ,   2.37311609E-02
  -1.00000000     ,  0.500000000     ,   3.89999972E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9954749999999258E-002 ,  0.582772017     ,   8.88597500E-03 ,   2.0041499970620498E-002 ,  0.602710366     ,  -5.13869105E-03
  -1.00000000     ,  0.500000000     ,   3.99999990E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9614499999999202E-002 ,  0.556972206     ,  -2.33091693E-03 ,   1.9596499950811266E-002 ,  0.558102369     ,  -6.17163721E-03
  -1.00000000     ,  0.500000000     ,   4.09999979E-04 ,  -2.0000000000000000      ,   0.00000000     ,   2.0018499999999263E-002 ,  0.555800974     ,  -1.33246640E-02 ,   2.0122999975783751E-002 ,  0.558362484     ,   1.68679208E-02
  -1.00000000     ,  0.500000000     ,   4.19999968E-04 ,  -2.0000000000000000      ,   0.00000000     ,   2.0023249999999264E-002 ,  0.539521098     ,   1.06113665E-02 ,   1.9898999958345667E-002 ,  0.528118610     ,   8.41848925E-03
  -1.00000000     ,  0.500000000     ,   4.29999985E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9997249999999269E-002 ,  0.521838665     ,   1.48041360E-02 ,   1.9814499959303067E-002 ,  0.528425813     ,  -2.68016215E-02
  -1.00000000     ,  0.500000000     ,   4.39999974E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9836999999999359E-002 ,  0.511433959     ,   1.70735251E-02 ,   2.0070749971829355E-002 ,  0.525188923     ,   1.06402319E-02
  -1.00000000     ,  0.500000000     ,   4.49999963E-04 ,  -2.0000000000000000      ,   0.00000000     ,   2.0141249999999292E-002 ,  0.510890424     ,   1.07567403E-02 ,   1.9907999973185361E-002 ,  0.511370122     ,  -2.67349035E-02
  -1.00000000     ,  0.500000000     ,   4.59999981E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9933249999999153E-002 ,  0.501575947     ,  -2.62759831E-02 ,   1.9993999960226938E-002 ,  0.504179299     ,  -1.24266278E-02
  -1.00000000     ,  0.500000000     ,   4.69999970E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9951749999999269E-002 ,  0.492155969     ,   3.69823072E-03 ,   2.0028749970579521E-002 ,  0.492699057     ,  -4.76616959E-04
  -1.00000000     ,  0.500000000     ,   4.79999988E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9885249999999195E-002 ,  0.475953072     ,  -1.13947354E-02 ,   1.9973499965900556E-002 ,  0.471704304     ,   1.99440587E-02
  -1.00000000     ,  0.500000000     ,   4.90000006E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9973999999999294E-002 ,  0.464529216     ,   1.73224360E-02 ,   1.9861249974789098E-002 ,  0.457770646     ,   2.10866239E-03
  -1.00000000     ,  0.500000000     ,   5.00000024E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9704999999999234E-002 ,  0.446213424     ,  -2.78370432E-03 ,   2.0297999966377392E-002 ,  0.475012362     ,   2.60529271E-03
  -1.00000000     ,  0.500000000     ,   5.09999983E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9810999999999204E-002 ,  0.441118717     ,   8.73635150E-03 ,   1.9635999957285821E-002 ,  0.448740244     ,  -4.32725810E-02
  -1.00000000     ,  0.500000000     ,   5.20000001E-04 ,  -2.0000000000000000      ,   0.00000000     ,   2.0094499999999182E-002 ,  0.435554951     ,   1.25588253E-02 ,   1.9746749962866305E-002 ,  0.435161531     ,  -1.35437213E-02
  -1.00000000     ,  0.500000000     ,   5.30000019E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9902749999999268E-002 ,  0.422495097     ,   2.50869989E-02 ,   2.0261999962804839E-002 ,  0.431828022     ,  -3.94357508E-03
  -1.00000000     ,  0.500000000     ,   5.39999979E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9628249999999257E-002 ,  0.414803118     ,  -3.28302160E-02 ,   2.0127749969111756E-002 ,  0.423998743     ,   5.82973612E-03
  -1.00000000     ,  0.500000000     ,   5.49999997E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9965999999999325E-002 ,  0.413893372     ,  -5.94173116E-06 ,   2.0095999967353419E-002 ,  0.416228712     ,  -1.30179874E-03
  -1.00000000     ,  0.500000000     ,   5.60000015E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9982499999999206E-002 ,  0.401693642     ,   1.45568764E-02 ,   1.9899249951215461E-002 ,  0.406241894     ,   5.27052395E-03
  -1.00000000     ,  0.500000000     ,   5.69999975E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9869999999999222E-002 ,  0.394707203     ,  -6.56966935E-04 ,   2.0037499956600369E-002 ,  0.395405442     ,   3.46695408E-02
  -1.00000000     ,  0.500000000     ,   5.79999993E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9866999999999191E-002 ,  0.392521232     ,   8.68543796E-03 ,   1.9735249958233909E-002 ,  0.387985826     ,   2.50784704E-03
  -1.00000000     ,  0.500000000     ,   5.90000011E-04 ,  -2.0000000000000000      ,   0.00000000     ,   2.0152499999999230E-002 ,  0.391780496     ,  -9.61469766E-03 ,   2.0093999971356243E-002 ,  0.386338860     ,   1.61917824E-02
  -1.00000000     ,  0.500000000     ,   6.00000028E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9882999999999287E-002 ,  0.386831343     ,  -2.42714547E-02 ,   1.9920249963458626E-002 ,  0.386038363     ,  -1.07849762E-02
  -1.00000000     ,  0.500000000     ,   6.09999988E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9878749999999203E-002 ,  0.369812995     ,   1.74184572E-02 ,   2.0026249970449134E-002 ,  0.379325718     ,  -5.99574484E-03
  -1.00000000     ,  0.500000000     ,   6.20000006E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9786249999999297E-002 ,  0.358268023     ,   2.86187828E-02 ,   1.9601499965181575E-002 ,  0.371800303     ,  -4.20050621E-02
  -1.00000000     ,  0.500000000     ,   6.30000024E-04 ,  -2.0000000000000000      ,   0.00000000     ,   2.0041249999999251E-002 ,  0.363762170     ,  -3.13592819E-03 ,   2.0011749963043259E-002 ,  0.357377738     ,   1.35022998E-02
  -1.00000000     ,  0.500000000     ,   6.39999984E-04 ,  -2.0000000000000000      ,   0.00000000     ,   2.0015499999999246E-002 ,  0.351411730     ,   1.73841640E-02 ,   1.9838999959081411E-002 ,  0.352973163     ,   3.41420993E-03
