Temp,B-Field, AverMagnetization, AverMagnetization^2, Suceptibility, Cumulant,AverEnergy, AverEnergy^2, C_v
  0.100000001     ,  0.100000001     ,  0.76156292480468746      ,  0.58008014901399607      ,   1.0206057692607740E-003 ,  0.66643225367023973      ,  -2.0380781099260843      ,   4.1537626373108374      ,   2.5515095725126002E-005
  0.100000001     ,  0.200000003     ,  0.96403591796874999      ,  0.92938246376991274      ,   1.7212636062247100E-004 ,  0.66664197166979045      ,  -2.0964034977156190      ,   4.3949077973589548      ,   1.7212467362526240E-005
  0.100000001     ,  0.300000012     ,  0.99504689941406255      ,  0.99012075872182848      ,   2.4266882889811825E-005 ,  0.66666340476210428      ,  -2.1492571301024044      ,   4.6193062658980191      ,   5.4601995813641224E-006
  0.100000001     ,  0.400000006     ,  0.99933083007812495      ,  0.99866243242740627      ,   3.2448277198504627E-006 ,  0.66666624635469285      ,  -2.1998662136674323      ,   4.8394113710134148      ,   1.2977929841895275E-006
  0.100000001     ,  0.500000000     ,  0.99990875976562499      ,  0.99981757226943968      ,   4.4413409283627914E-007 ,  0.66666659488960867      ,  -2.2499771899414061      ,   5.0623973580324648      ,   2.7758391141219363E-007
  0.100000001     ,  0.600000024     ,  0.99998728027343753      ,  0.99997456688642505      ,   6.1777585269595647E-008 ,  0.66666665941684000      ,  -2.2999961363989221      ,   5.2899822280045283      ,   5.5455906533552479E-008
  0.100000001     ,  0.699999988     ,  0.99999828613281250      ,  0.99999657310724255      ,   8.3868023637023725E-009 ,  0.66666667191829343      ,  -2.3499993047791139      ,   5.5224967325585288      ,   9.6210150957176666E-009
  0.100000001     ,  0.800000012     ,  0.99999969238281250      ,  0.99999938491582874      ,   1.5010914733437630E-009 ,  0.66666667915832345      ,  -2.3999999723205456      ,   5.7599998671559582      ,   1.7338130930966145E-009
  0.100000001     ,  0.900000036     ,  0.99999999023437502      ,  0.99999998047351835      ,   4.7681858461601223E-011 ,  0.66666667967796633      ,  -2.4500000432891840      ,   6.0025002121231639      ,   6.1604055190400686E-010
  0.100000001     ,   1.00000000     ,  0.99999999511718751      ,  0.99999999023675923      ,   2.3842039453825237E-011 ,  0.66666667317231654      ,  -2.4999999975585938      ,   6.2499999877935650      ,   5.9596771961878403E-011
  0.100000001     ,   1.10000002     ,   1.0000000000000000      ,   1.0000000000000000      ,   0.0000000000000000      ,  0.66666666666666674      ,  -2.5499999523162842      ,   6.5024997568221439      ,   9.0922824824701820E-010
  0.100000001     ,   1.20000005     ,   1.0000000000000000      ,   1.0000000000000000      ,   0.0000000000000000      ,  0.66666666666666674      ,  -2.5999999046325684      ,   6.7599995040822911      ,  -7.0734529344917974E-010
  0.100000001     ,   1.30000007     ,   1.0000000000000000      ,   1.0000000000000000      ,   0.0000000000000000      ,  0.66666666666666674      ,  -2.6500000953674316      ,   7.0225005054402398      ,  -7.1569417059436091E-010
  0.100000001     ,   1.39999998     ,   1.0000000000000000      ,   1.0000000000000000      ,   0.0000000000000000      ,  0.66666666666666674      ,  -2.7000000476837158      ,   7.2900002575062137      ,   1.4146017690563895E-009
  0.100000001     ,   1.50000000     ,   1.0000000000000000      ,   1.0000000000000000      ,   0.0000000000000000      ,  0.66666666666666674      ,  -2.7500000000000000      ,   7.5625000000000000      ,   0.0000000000000000     
  0.100000001     ,   1.60000002     ,   1.0000000000000000      ,   1.0000000000000000      ,   0.0000000000000000      ,  0.66666666666666674      ,  -2.7999999523162842      ,   7.8399997329882671      ,   1.7073453761895507E-009
  0.100000001     ,   1.70000005     ,   1.0000000000000000      ,   1.0000000000000000      ,   0.0000000000000000      ,  0.66666666666666674      ,  -2.8499999046325684      ,   8.1224994563981987      ,  -7.4500405844446504E-010
  0.100000001     ,   1.80000007     ,   1.0000000000000000      ,   1.0000000000000000      ,   0.0000000000000000      ,  0.66666666666666674      ,  -2.9000000953674316      ,   8.4100005531235986      ,  -7.5139894306630595E-010
  0.100000001     ,   1.89999998     ,   1.0000000000000000      ,   1.0000000000000000      ,   0.0000000000000000      ,  0.66666666666666674      ,  -2.9500000476837158      ,   8.7025002813548440      ,   2.0918378140777349E-009
  0.100000001     ,   2.00000000     ,   1.0000000000000000      ,   1.0000000000000000      ,   0.0000000000000000      ,  0.66666666666666674      ,  -3.0000000000000000      ,   9.0000000000000000      ,   0.0000000000000000     
  0.100000001     ,   2.10000014     ,   1.0000000000000000      ,   1.0000000000000000      ,   0.0000000000000000      ,  0.66666666666666674      ,  -3.0500001907348633      ,   9.3025011634715629      ,  -1.1139533739878971E-009
  0.100000001     ,   2.20000005     ,   1.0000000000000000      ,   1.0000000000000000      ,   0.0000000000000000      ,  0.66666666666666674      ,  -3.0999999046325684      ,   9.6099994087141933      ,  -7.7395867492668913E-010
  0.100000001     ,   2.29999995     ,   1.0000000000000000      ,   1.0000000000000000      ,   0.0000000000000000      ,  0.66666666666666674      ,  -3.1500000953674316      ,   9.9225006008070391      ,  -7.7893247407700983E-010
  0.100000001     ,   2.40000010     ,   1.0000000000000000      ,   1.0000000000000000      ,   0.0000000000000000      ,  0.66666666666666674      ,  -3.2000000476837158      ,   10.240000305201951      ,   2.6167512601205090E-009
  0.100000001     ,   2.50000000     ,   1.0000000000000000      ,   1.0000000000000000      ,   0.0000000000000000      ,  0.66666666666666674      ,  -3.2500000000000000      ,   10.562500000000000      ,   0.0000000000000000     
  0.100000001     ,   2.60000014     ,   1.0000000000000000      ,   1.0000000000000000      ,   0.0000000000000000      ,  0.66666666666666674      ,  -3.3000001907348633      ,   10.890001258835182      ,  -1.4951595517231908E-009
