Temperatura MagneticField Magnetization Magnetization2
0.1 0.002475 0.02475731 0.0008563569
0.1 0.00495 0.04942638 0.002685704
0.1 0.007425 0.0741047 0.005734413
0.1 0.0099 0.0987344 0.009988068
0.1 0.012375 0.1231827 0.0154146
0.1 0.01485 0.1473856 0.02195988
0.1 0.017325 0.17151 0.02965284
0.1 0.0198 0.1955418 0.03847075
0.1 0.022275 0.2191374 0.0482539
0.1 0.02475 0.2426712 0.05911932
0.1 0.027225 0.2656179 0.0707814
0.1 0.0297 0.2885536 0.08348835
0.1 0.032175 0.311182 0.09705519
0.1 0.03465 0.3332795 0.1112932
0.1 0.037125 0.3551997 0.1263811
0.1 0.0396 0.3764922 0.1419569
0.1 0.042075 0.3975275 0.158233
0.1 0.04455 0.4183257 0.1751977
0.1 0.047025 0.4384184 0.1924079
0.1 0.0495 0.4581523 0.2100976
0.1 0.051975 0.4774603 0.2281564
0.1 0.05445 0.4963541 0.2465524
0.1 0.056925 0.5148286 0.2652281
0.1 0.0594 0.5327784 0.2840277
0.1 0.061875 0.5502351 0.3029282
0.1 0.06435 0.567234 0.321919
0.1 0.066825 0.5839139 0.3411161
0.1 0.0693 0.5999544 0.3601004
0.1 0.071775 0.6155005 0.3789928
0.1 0.07425 0.6307334 0.3979721
0.1 0.076725 0.6452472 0.4164854
0.1 0.0792 0.659544 0.4351365
0.1 0.081675 0.6733438 0.453525
0.1 0.08415 0.6866151 0.4715687
0.1 0.086625 0.6995594 0.4895095
0.1 0.0891 0.7118746 0.5068863
0.1 0.091575 0.7238191 0.524031
0.1 0.09405 0.7354021 0.5409286
0.1 0.096525 0.746647 0.55759
0.1 0.099 0.7573716 0.5737155
0.1 0.1 0.7615629 0.5800801
0.1 0.102475 0.7718245 0.5958107
0.1 0.10495 0.781599 0.6109921
0.1 0.107425 0.790998 0.6257686
0.1 0.1099 0.8001373 0.6403079
0.1 0.112375 0.8088352 0.6542993
0.1 0.11485 0.8172805 0.6680286
0.1 0.117325 0.8252649 0.68114
0.1 0.1198 0.8330602 0.6940637
0.1 0.122275 0.8404603 0.7064449
0.1 0.12475 0.847554 0.7184162
0.1 0.127225 0.854357 0.7299919
0.1 0.1297 0.8609316 0.7412665
0.1 0.132175 0.8672743 0.7522246
0.1 0.13465 0.8732257 0.7625807
0.1 0.137125 0.8789851 0.7726702
0.1 0.1396 0.884488 0.7823723
0.1 0.142075 0.8898013 0.7917965
0.1 0.14455 0.8948232 0.8007575
0.1 0.147025 0.89961 0.8093452
0.1 0.1495 0.9042509 0.8177145
0.1 0.151975 0.9086153 0.8256242
0.1 0.15445 0.9128782 0.8333877
0.1 0.156925 0.9168823 0.840712
0.1 0.1594 0.9207441 0.8478066
0.1 0.161875 0.9244683 0.8546772
0.1 0.16435 0.9279616 0.8611468
0.1 0.166825 0.9313372 0.8674213
0.1 0.1693 0.9344928 0.8733081
0.1 0.171775 0.9375351 0.8790017
0.1 0.17425 0.9405246 0.8846146
0.1 0.176725 0.9433001 0.889842
0.1 0.1792 0.9459625 0.8948707
0.1 0.181675 0.9485424 0.8997572
0.1 0.18415 0.9509432 0.9043163
0.1 0.186625 0.9532417 0.9086918
0.1 0.1891 0.955451 0.9129079
0.1 0.191575 0.9575422 0.9169075
0.1 0.19405 0.9595549 0.9207647
0.1 0.196525 0.9615277 0.924554
0.1 0.199 0.9633066 0.9279772
0.2 0.002475 0.01244704 0.000398678
0.2 0.00495 0.02476504 0.0008567067
0.2 0.007425 0.03709705 0.001619349
0.2 0.0099 0.04952036 0.002695262
0.2 0.012375 0.06179931 0.004063889
0.2 0.01485 0.07415147 0.005740712
0.2 0.017325 0.08631824 0.007692691
0.2 0.0198 0.09868355 0.009980871
0.2 0.022275 0.1109243 0.01254516
0.2 0.02475 0.1231204 0.01539888
0.2 0.027225 0.1351896 0.01851775
0.2 0.0297 0.1474927 0.0219927
0.2 0.032175 0.1594328 0.02565646
0.2 0.03465 0.1715305 0.0296587
0.2 0.037125 0.183516 0.03391329
0.2 0.0396 0.1953349 0.0383922
0.2 0.042075 0.207392 0.04324482
0.2 0.04455 0.2191782 0.04826951
0.2 0.047025 0.230887 0.05354258
0.2 0.0495 0.2426518 0.05910958
0.2 0.051975 0.254238 0.0648648
0.2 0.05445 0.2657393 0.07084682
0.2 0.056925 0.2771389 0.07703066
0.2 0.0594 0.2885902 0.08350812
0.2 0.061875 0.2998279 0.09011926
0.2 0.06435 0.311153 0.0970373
0.2 0.066825 0.3221408 0.1039953
0.2 0.0693 0.3331897 0.1112304
0.2 0.071775 0.344299 0.1187574
0.2 0.07425 0.3551013 0.1263097
0.2 0.076725 0.3658406 0.13405
0.2 0.0792 0.376575 0.1420182
0.2 0.081675 0.3870378 0.1500057
