    141   18130   18130 0.000008      -267308.000
    142   18144   18144 0.000839      -266816.000
    143   17770   17770 0.000099      -267248.000
    144   18522   18522 0.000206      -268284.000
    145   18148   18148 0.000671      -268492.000
    146   17860   17860 0.000946      -267500.000
    147   17902   17902 0.000404      -267400.000
    148   17982   17982 0.000664      -267472.000
    149   18306   18306 0.000496      -267308.000
    150   18590   18590 0.000847      -267544.000
    151   18502   18502 0.001259      -267776.000
    152   17742   17742 0.001472      -267300.000
    153   17576   17576 0.000702      -267796.000
    154   18218   18218 0.000374      -268504.000
    155   17948   17948 0.001266      -268456.000
    156   17814   17814 0.001503      -267884.000
    157   17310   17310 0.000008      -267504.000
    158   18166   18166 0.000587      -267584.000
    159   18764   18764 0.000488      -267532.000
    160   19506   19506 0.001106      -267140.000
    161   18488   18488 0.000107      -267484.000
    162   17924   17924 0.001007      -267192.000
    163   17932   17932 0.000168      -268264.000
    164   17748   17748 0.000092      -268044.000
    165   17736   17736 0.000244      -268344.000
    166   17806   17806 0.000084      -268152.000
    167   17210   17210 0.000237      -267660.000
    168   18034   18034 0.000282      -268072.000
    169   18372   18372 0.001556      -267408.000
    170   18760   18760 0.000290      -267704.000
    171   17708   17708 0.000214      -267768.000
    172   17676   17676 0.001389      -267688.000
    173   18050   18050 0.000481      -267920.000
    174   17746   17746 0.001366      -267900.000
    175   17460   17460 0.001068      -267740.000
    176   17112   17112 0.000931      -267364.000
    177   17328   17328 0.000504      -267504.000
    178   18246   18246 0.000481      -267584.000
    179   18968   18968 0.002136      -267580.000
    180   19588   19588 0.000519      -267936.000
    181   18926   18926 0.000526      -267496.000
    182   18620   18620 0.000458      -267516.000
    183   18548   18548 0.000549      -268080.000
    184   18324   18324 0.001495      -268404.000
    185   17768   17768 0.001099      -268024.000
    186   17568   17568 0.000168      -267572.000
    187   17594   17594 0.001472      -267604.000
    188   17902   17902 0.001122      -267756.000
    189   18356   18356 0.001877      -267728.000
    190   18538   18538 0.000572      -267464.000
    191   17560   17560 0.001251      -267132.000
    192   17484   17484 0.000000      -267000.000
    193   17570   17570 0.000206      -268200.000
    194   17342   17342 0.000099      -268124.000
    195   17686   17686 0.001778      -268256.000
    196   17378   17378 0.001198      -267496.000
    197   17840   17840 0.001953      -267372.000
    198   18162   18162 0.000923      -267904.000
    199   18860   18860 0.000626      -267664.000
    200   18342   18342 0.001106      -268000.000
    201   17886   17886 0.000191      -267724.000
    202   17760   17760 0.000214      -267256.000
    203   17880   17880 0.000641      -268132.000
    204   17934   17934 0.001076      -268548.000
    205   17418   17418 0.001320      -268020.000
    206   17434   17434 0.000130      -267524.000
    207   17988   17988 0.000488      -267332.000
    208   18454   18454 0.000923      -267660.000
    209   18956   18956 0.000259      -267668.000
    210   18034   18034 0.000542      -267460.000
    211   17832   17832 0.000961      -267220.000
    212   17708   17708 0.000778      -267172.000
    213   18240   18240 0.000107      -268008.000
    214   17784   17784 0.000183      -268328.000
    215   17622   17622 0.001518      -268084.000
    216   17270   17270 0.000938      -267312.000
    217   17544   17544 0.000580      -267684.000
    218   18342   18342 0.000969      -267788.000
    219   18902   18902 0.000893      -268076.000
    220   17812   17812 0.000656      -267288.000
    221   17870   17870 0.000481      -267052.000
    222   17634   17634 0.000267      -267416.000
    223   18160   18160 0.000443      -268732.000
    224   17938   17938 0.000099      -268188.000
    225   17794   17794 0.001152      -268048.000
    226   18082   18082 0.000038      -267788.000
    227   18360   18360 0.000595      -267692.000
    228   18372   18372 0.000565      -267936.000
    229   19086   19086 0.000786      -267948.000
    230   18158   18158 0.000404      -267640.000
    231   17670   17670 0.001335      -267180.000
    232   17320   17320 0.000687      -267636.000
    233   17746   17746 0.000206      -268824.000
    234   17700   17700 0.001221      -268784.000
    235   17310   17310 0.000694      -267680.000
    236   17008   17008 0.000580      -267192.000
    237   17902   17902 0.000114      -267764.000
    238   18480   18480 0.000046      -267464.000
    239   19168   19168 0.000244      -267808.000
    240   18906   18906 0.001350      -267644.000
    241   18240   18240 0.001450      -267128.000
    242   18096   18096 0.000381      -267964.000
    243   18380   18380 0.000153      -268464.000
    244   17816   17816 0.001129      -268468.000
    245   17586   17586 0.001198      -268200.000
    246   17456   17456 0.000153      -268460.000
    247   18106   18106 0.000023      -268328.000
    248   18164   18164 0.000641      -267804.000
    249   19046   19046 0.000801      -267268.000
    250   18270   18270 0.000175      -267620.000
    251   17764   17764 0.000275      -267200.000
    252   18286   18286 0.000237      -267972.000
    253   18050   18050 0.000160      -267684.000
    254   17828   17828 0.000961      -268012.000
    255   17988   17988 0.000565      -267900.000
    256   17412   17412 0.000275      -267384.000
    257   18410   18410 0.000038      -268068.000
    258   19284   19284 0.001160      -267352.000
    259   19318   19318 0.000481      -267796.000
    260   18254   18254 0.000908      -267576.000
    261   18144   18144 0.000763      -267612.000
    262   18586   18586 0.000710      -268036.000
    263   18272   18272 0.001312      -268268.000
    264   17884   17884 0.000687      -267848.000
    265   17742   17742 0.000008      -267720.000
    266   17890   17890 0.001030      -267956.000
    267   18056   18056 0.000641      -267612.000
    268   18220   18220 0.001572      -267996.000
    269   18802   18802 0.000221      -268112.000
    270   18046   18046 0.000877      -267328.000
    271   17684   17684 0.000214      -267196.000
    272   18110   18110 0.000572      -268148.000
    273   17930   17930 0.001762      -267984.000
    274   17988   17988 0.001236      -267700.000
    275   17962   17962 0.000481      -267288.000
    276   17884   17884 0.000961      -267396.000
    277   18960   18960 0.001724      -267708.000
    278   19456   19456 0.001755      -267616.000
    279   19312   19312 0.000778      -267444.000
    280   18310   18310 0.001167      -267028.000
    281   18384   18384 0.000793      -267204.000
    282   18104   18104 0.000336      -268208.000
    283   17588   17588 0.000671      -268480.000
    284   18060   18060 0.001144      -267984.000
    285   17956   17956 0.001297      -267576.000
    286   18102   18102 0.002159      -267396.000
    287   18084   18084 0.000839      -267672.000
    288   19022   19022 0.000893      -267684.000
    289   18288   18288 0.001099      -267996.000
    290   17664   17664 0.000290      -267568.000
    291   17522   17522 0.001259      -266740.000
    292   18060   18060 0.000519      -267692.000
    293   17644   17644 0.001007      -268268.000
    294   17466   17466 0.001625      -267700.000
    295   17178   17178 0.000542      -266960.000
    296   18076   18076 0.000870      -267184.000
    297   18690   18690 0.000893      -267868.000
    298   19642   19642 0.000511      -267872.000
    299   19026   19026 0.000938      -267624.000
    300   18906   18906 0.000404      -267636.000
    301   18938   18938 0.000847      -267136.000
    302   19068   19068 0.000565      -268236.000
    303   18720   18720 0.000076      -268620.000
    304   18238   18238 0.001137      -268268.000
    305   18106   18106 0.001198      -267396.000
    306   18148   18148 0.000885      -267816.000
    307   18518   18518 0.000099      -267880.000
    308   19102   19102 0.001457      -268064.000
    309   17900   17900 0.000793      -267328.000
    310   17972   17972 0.000534      -267164.000
    311   17528   17528 0.001038      -267672.000
    312   18116   18116 0.000610      -268828.000
    313   17986   17986 0.000069      -268340.000
    314   17664   17664 0.001205      -267960.000
    315   17714   17714 0.000435      -267616.000
    316   17694   17694 0.000420      -267732.000
    317   18120   18120 0.000061      -267688.000
    318   18878   18878 0.000877      -267980.000
    319   18056   18056 0.000061      -267292.000
