 tiempo ave_magnetization ave_absmagnetization ave_energy
           1  -2.55999994       25.8400002      -170.639999    
           2 -0.959999979       35.5999985      -291.119995    
           3  -3.27999997       45.4399986      -345.119995    
           4  -1.91999996       52.4799995      -374.799988    
           5  -1.20000005       53.3600006      -400.079987    
           6  -1.91999996       59.8400002      -415.119995    
           7  -1.79999995       63.1599998      -422.880005    
           8  -4.67999983       63.1599998      -428.880005    
           9  -5.76000023       62.6399994      -442.079987    
          10  -3.83999991       64.0800018      -445.440002    
          11  -4.11999989       67.1600037      -446.399994    
          12   3.35999990       67.8399963      -451.519989    
          13 -0.920000017       72.7600021      -458.000000    
          14  -1.36000001       76.0000000      -458.160004    
          15  -3.16000009       75.0000000      -462.320007    
          16 -0.800000012       78.9599991      -464.799988    
          17  -4.23999977       76.2399979      -466.559998    
          18   1.84000003       79.3600006      -463.839996    
          19 -0.680000007       79.8799973      -464.959991    
          20   2.00000000       86.9599991      -461.119995    
          21   4.63999987       86.3199997      -470.480011    
          22   4.48000002       87.8399963      -475.359985    
          23   1.12000000       89.1200027      -471.279999    
          24  -4.63999987       93.2799988      -470.239990    
          25  -7.36000013       91.2799988      -471.119995    
          26  -9.72000027       93.4800034      -472.880005    
          27  -9.88000011       91.8000031      -476.480011    
          28  -11.6800003       92.8799973      -473.920013    
          29  -6.15999985       97.6800003      -482.880005    
          30  -4.88000011       102.160004      -484.079987    
          31 -0.360000014       102.919998      -485.679993    
          32   1.20000005       101.279999      -483.920013    
          33   3.31999993       105.239998      -493.040009    
          34   2.68000007       109.639999      -493.760010    
          35   7.11999989       110.959999      -488.720001    
          36   14.5200005       112.919998      -486.480011    
          37   19.3999996       112.519997      -494.880005    
          38   18.9599991       114.000000      -493.839996    
          39   15.9600000       111.160004      -487.679993    
          40   16.4400005       110.599998      -490.320007    
          41   14.2399998       114.080002      -490.720001    
          42   11.1999998       114.000000      -489.519989    
          43   12.8800001       115.199997      -487.200012    
          44   12.5600004       116.879997      -481.920013    
          45   11.5200005       119.760002      -492.000000    
          46   12.8000002       120.639999      -486.000000    
          47   12.5600004       118.400002      -482.079987    
          48   16.1200008       120.360001      -487.920013    
          49   17.7600002       117.040001      -492.559998    
          50   15.4799995       115.400002      -492.559998    
          51   15.4399996       117.199997      -492.160004    
          52   10.1599998       118.000000      -494.559998    
          53   8.84000015       118.519997      -486.959991    
          54   13.8800001       117.559998      -486.720001    
          55   16.2399998       124.720001      -488.480011    
          56   12.0799999       125.120003      -484.720001    
          57   11.3199997       128.919998      -494.480011    
          58   14.9200001       129.559998      -497.600006    
          59   12.1599998       132.639999      -498.399994    
          60   13.3999996       138.520004      -500.559998    
          61   12.8800001       140.800003      -504.320007    
          62   14.8000002       140.240005      -502.799988    
          63   10.8800001       142.639999      -499.040009    
          64   11.1599998       139.320007      -496.480011    
          65   9.96000004       140.520004      -500.640015    
          66   12.6000004       140.360001      -498.880005    
          67   15.3599997       138.320007      -494.399994    
          68   14.6400003       140.639999      -497.760010    
          69   14.3999996       138.880005      -497.920013    
          70   16.1599998       144.559998      -500.239990    
          71   19.2399998       147.320007      -502.559998    
          72   25.1200008       157.279999      -498.160004    
          73   25.0799999       161.080002      -514.000000    
          74   23.3999996       163.080002      -517.200012    
          75   24.6000004       159.320007      -511.600006    
