 tiempo ave_magnetization ave_absmagnetization ave_energy
         141   22.4799995       86.8000031      -359.920013    
         142   19.7999992       86.0400009      -365.359985    
         143   20.1599998       83.5999985      -359.359985    
         144   16.5200005       79.6399994      -354.799988    
         145   18.3199997       77.7600021      -355.839996    
         146   15.4399996       75.1999969      -357.119995    
         147   16.9200001       72.7600021      -356.640015    
         148   18.3999996       73.4400024      -360.239990    
         149   17.1200008       68.2399979      -363.200012    
         150   18.6800003       70.7600021      -366.720001    
         151   18.4799995       69.5199966      -359.040009    
         152   19.9599991       70.9199982      -349.519989    
         153   25.0400009       74.0800018      -358.320007    
         154   23.0000000       78.8399963      -366.880005    
         155   25.3199997       72.5999985      -359.200012    
         156   27.5200005       76.4800034      -359.200012    
         157   24.1599998       85.5999985      -369.200012    
         158   23.5200005       85.1999969      -362.799988    
         159   15.8400002       82.6399994      -363.920013    
         160   17.0000000       82.1999969      -363.119995    
         161   15.5200005       71.5199966      -357.839996    
         162   16.6399994       75.8399963      -365.920013    
         163   22.3999996       79.8399963      -370.000000    
         164   28.8400002       77.9599991      -368.799988    
         165   27.3999996       71.7200012      -368.480011    
         166   22.8400002       66.1999969      -363.200012    
         167   17.6399994       68.7600021      -353.600006    
         168   17.2399998       68.5999985      -359.200012    
         169   16.4799995       72.7200012      -359.600006    
         170   10.2399998       69.1999969      -366.480011    
         171   9.52000046       71.2799988      -365.040009    
         172   7.92000008       64.0000000      -361.519989    
         173   9.11999989       65.9199982      -356.239990    
         174   11.8000002       71.1600037      -362.640015    
         175   5.59999990       70.2399979      -361.440002    
         176   7.11999989       71.3600006      -366.959991    
         177   4.71999979       66.9599991      -359.839996    
         178  -3.11999989       62.1599998      -360.559998    
         179 -0.680000007       62.6800003      -363.040009    
         180   7.99999982E-02   60.5600014      -357.040009    
         181  -3.55999994       63.8800011      -360.720001    
         182   1.88000000       58.0400009      -358.799988    
         183  -2.68000007       55.0000000      -349.440002    
         184  -1.55999994       53.9599991      -350.799988    
         185  -4.00000000       59.7599983      -351.119995    
         186  0.560000002       60.0000000      -359.279999    
         187  -1.44000006       57.2799988      -352.799988    
         188 -0.479999989       60.4000015      -354.399994    
         189   1.91999996       60.0000000      -350.720001    
         190   2.44000006       59.0000000      -354.000000    
         191  -2.27999997       61.4000015      -356.480011    
         192  -9.11999989       63.2799988      -358.399994    
         193  -16.4799995       67.1999969      -366.320007    
         194  -11.0799999       68.6800003      -369.359985    
         195  -16.9200001       59.7999992      -358.880005    
         196  -17.0400009       61.2000008      -361.279999    
         197  -18.2000008       57.1599998      -364.559998    
         198  -19.3999996       53.3199997      -366.720001    
         199  -20.6399994       54.7999992      -365.279999    
         200  -14.6800003       50.2000008      -370.640015    
         201  -10.8800001       46.7999992      -356.959991    
         202  -9.96000004       51.5600014      -364.799988    
         203  -15.0000000       56.8400002      -364.559998    
         204  -18.2000008       57.4000015      -361.359985    
         205  -15.7600002       58.5600014      -364.640015    
         206  -10.2799997       65.7200012      -367.839996    
         207  -6.67999983       72.5999985      -362.640015    
         208  -6.00000000       72.1600037      -357.679993    
         209  -7.67999983       78.2399979      -368.320007    
         210  -1.27999997       77.4400024      -362.640015    
         211  0.360000014       75.6399994      -360.160004    
         212  -1.55999994       73.2399979      -360.880005    
         213  0.639999986       75.3600006      -361.519989    
         214   8.43999958       78.2799988      -369.760010    
         215   2.16000009       76.8799973      -365.440002    
         216  0.600000024       74.1999969      -366.399994    
         217  -1.32000005       72.5999985      -368.079987    
         218 -0.360000014       70.1200027      -360.559998    
         219   1.88000000       67.1600037      -365.600006    
         220   2.03999996       68.5999985      -358.720001    
         221   1.60000002       66.7200012      -358.799988    
         222   2.92000008       69.3199997      -363.600006    
         223   4.84000015       78.1200027      -360.480011    
         224   6.80000019       72.7200012      -361.839996    
         225   2.55999994       69.5999985      -363.760010    
         226  0.600000024       63.8800011      -360.720001    
         227  -1.12000000       66.1600037      -364.000000    
         228   2.40000010       64.0800018      -360.559998    
         229   4.55999994       63.2799988      -361.920013    
         230   7.67999983       63.4399986      -360.079987    
         231   11.8400002       62.8800011      -356.559998    
         232   14.0000000       61.5999985      -358.239990    
         233   13.8800001       60.3600006      -359.279999    
         234   12.9200001       60.9199982      -363.679993    
         235   12.0400000       66.6800003      -362.000000    
         236   16.1599998       69.3600006      -361.600006    
         237   16.3199997       68.3199997      -361.359985    
         238   15.3999996       68.3600006      -362.959991    
         239   16.6800003       65.0800018      -362.799988    
         240   14.7200003       63.9199982      -349.679993    
         241   8.31999969       60.9599991      -354.880005    
         242   2.44000006       61.4799995      -351.600006    
         243  0.439999998       59.4000015      -356.160004    
         244  -2.27999997       60.1199989      -351.839996    
         245 -0.600000024       64.1999969      -356.559998    
         246  -4.76000023       63.6399994      -350.559998    
         247 -0.759999990       63.9599991      -348.880005    
         248   1.00000000       61.6399994      -358.480011    
         249  -4.15999985       60.2400017      -355.279999    
         250 -0.239999995       64.4000015      -358.640015    
         251 -0.439999998       59.2400017      -346.160004    
         252  -2.03999996       61.0800018      -355.359985    
         253  0.839999974       64.6800003      -357.600006    
         254  -5.67999983       64.9599991      -356.720001    
         255  -7.71999979       70.8399963      -353.279999    
         256  -6.67999983       70.3600006      -350.640015    
         257  -10.3999996       68.1600037      -361.279999    
         258  -15.9200001       64.9599991      -361.920013    
         259  -10.7200003       60.9599991      -359.920013    
         260  -10.7200003       61.2799988      -359.279999    
         261  -15.6800003       59.5999985      -367.600006    
         262  -12.6000004       60.2000008      -360.559998    
         263  -15.8000002       60.1199989      -360.160004    
         264  -17.0799999       59.6399994      -354.320007    
         265  -20.3999996       64.0800018      -360.320007    
         266  -24.0400009       65.1600037      -366.720001    
         267  -13.9600000       63.7200012      -361.279999    
         268  -13.2799997       63.5200005      -361.839996    
         269  -18.0799999       63.6800003      -357.679993    
         270  -16.5599995       63.7599983      -358.720001    
         271  -19.1599998       65.6399994      -355.040009    
         272  -15.8400002       65.7600021      -355.279999    
         273  -14.0000000       68.0800018      -363.359985    
         274  -13.5600004       69.8799973      -365.519989    
         275  -12.6000004       70.5999985      -364.160004    
         276  -10.6400003       73.2799988      -360.640015    
         277  -7.40000010       67.0800018      -368.079987    
         278  -5.59999990       73.2799988      -363.359985    
         279 -0.879999995       70.4000015      -360.000000    
         280  0.159999996       64.7200012      -356.320007    
         281   3.07999992       69.2399979      -362.480011    
         282   2.48000002       69.5999985      -366.880005    
         283  -3.92000008       66.0800018      -359.600006    
         284  -13.7200003       70.5999985      -364.559998    
         285  -16.2399998       69.5199966      -364.959991    
         286  -12.2399998       71.6800003      -365.040009    
         287  -15.4799995       72.5199966      -361.279999    
         288  -19.6800003       62.4000015      -355.040009    
         289  -17.5200005       63.4399986      -358.399994    
         290  -12.4399996       70.1200027      -354.160004    
         291  -16.0000000       70.1600037      -358.559998    
         292  -24.0400009       68.3600006      -358.559998    
         293  -25.3600006       69.7600021      -362.160004    
         294  -20.7199993       65.6800003      -362.720001    
         295  -21.4799995       70.4400024      -354.799988    
         296  -24.4799995       71.7600021      -351.279999    
         297  -30.4400005       66.6800003      -356.880005    
         298  -33.4000015       67.6399994      -358.559998    
         299  -30.3600006       68.2799988      -353.119995    
         300  -28.0799999       69.5999985      -356.079987    
         301  -21.7600002       64.9599991      -358.480011    
         302  -22.3600006       71.4000015      -365.440002    
         303  -22.1599998       73.0400009      -363.600006    
         304  -18.8799992       72.8799973      -359.519989    
         305  -22.3199997       74.0800018      -355.920013    
         306  -18.9599991       66.6399994      -365.839996    
         307  -18.5599995       67.5199966      -363.040009    
         308  -10.3599997       66.1200027      -367.600006    
         309  -13.2399998       69.0800018      -365.760010    
         310  -11.3199997       73.4000015      -364.000000    
         311  -10.3999996       71.7600021      -361.440002    
         312  -6.03999996       72.3600006      -354.559998    
         313   1.60000002       73.5199966      -355.440002    
         314   3.99999991E-02   71.3199997      -363.600006    
         315   4.44000006       67.3199997      -356.640015    
         316 -0.119999997       68.4400024      -361.279999    
         317  -2.88000011       63.2799988      -354.480011    
         318  -3.96000004       67.3199997      -365.600006    
         319  -1.48000002       61.2400017      -361.200012    
         320  -1.51999998       62.0000000      -368.079987    
         321   2.44000006       55.6399994      -369.760010    
         322  0.800000012       56.7200012      -361.040009    
         323  -3.40000010       57.3199997      -354.880005    
         324   1.15999997       59.4000015      -353.679993    
         325   5.19999981       62.6399994      -349.119995    
         326   4.44000006       61.5600014      -352.320007    
         327   3.16000009       60.4399986      -366.320007    
         328   8.47999954       54.8800011      -359.119995    
         329   12.6400003       55.7599983      -364.880005    
         330   12.3599997       59.1599998      -361.040009    
         331   15.8800001       60.7599983      -363.440002    
         332   12.6000004       57.8800011      -355.040009    
         333   8.11999989       62.1199989      -363.920013    
         334   8.47999954       65.3600006      -363.679993    
