 tiempo ave_magnetization ave_absmagnetization ave_energy
           1   1.51999998       21.6000004      -150.320007    
           2   1.88000000       29.7999992      -258.239990    
           3   4.63999987       33.2000008      -296.480011    
           4   7.40000010       42.9199982      -322.959991    
           5   13.8800001       51.0000000      -338.720001    
           6   10.9200001       54.4399986      -347.600006    
           7   14.7200003       57.1199989      -355.760010    
           8   12.7200003       55.6800003      -359.920013    
           9   9.56000042       53.5600014      -365.519989    
          10   5.48000002       55.8800011      -371.279999    
          11   4.44000006       57.0800018      -369.359985    
          12   4.67999983       59.3199997      -375.200012    
          13   3.20000005       60.4799995      -368.239990    
          14  -2.96000004       59.4399986      -367.760010    
          15  -4.76000023       60.5999985      -371.279999    
          16  -4.15999985       63.1199989      -373.200012    
          17  -5.55999994       63.7999992      -367.760010    
          18  -6.88000011       63.2000008      -374.720001    
          19  -7.55999994       66.5199966      -375.519989    
          20  -7.88000011       65.7200012      -369.440002    
          21  -11.3999996       64.3600006      -372.399994    
          22  -3.83999991       62.3199997      -368.799988    
          23  -7.00000000       60.8400002      -374.320007    
          24  -6.96000004       57.2000008      -373.200012    
          25  -10.0400000       66.1200027      -373.200012    
          26  -7.63999987       66.1200027      -380.399994    
          27  -5.92000008       62.1599998      -373.200012    
          28  -6.96000004       63.2799988      -373.200012    
          29  -9.27999973       67.2799988      -381.359985    
          30  -9.11999989       71.6800003      -389.040009    
          31  -10.9200001       68.1200027      -377.519989    
          32  -4.92000008       61.8800011      -386.399994    
          33  -5.00000000       64.8399963      -381.200012    
          34  -6.44000006       63.1599998      -380.959991    
          35  -4.67999983       65.0000000      -375.760010    
          36  -7.92000008       68.6399994      -379.200012    
          37  -3.72000003       69.3199997      -375.040009    
          38   3.27999997       69.6800003      -380.480011    
          39   5.11999989       70.0800018      -387.839996    
          40   8.27999973       68.5999985      -384.720001    
          41   14.0400000       73.4000015      -377.679993    
          42   17.9200001       66.4000015      -382.480011    
          43   16.2399998       69.7600021      -385.200012    
          44   8.52000046       74.6800003      -381.679993    
          45   9.96000004       78.9199982      -386.239990    
          46   11.0799999       73.7200012      -383.440002    
          47   9.68000031       74.0000000      -382.640015    
          48   6.03999996       77.4800034      -386.239990    
          49   2.00000000       74.8000031      -385.920013    
          50   2.68000007       71.0800018      -387.600006    
          51  -2.55999994       72.8799973      -385.679993    
          52   1.88000000       70.3600006      -376.160004    
          53  0.119999997       73.4000015      -373.519989    
          54   1.63999999       70.1999969      -376.559998    
          55   3.00000000       68.1200027      -381.440002    
          56   5.71999979       65.4000015      -374.000000    
          57   9.52000046       71.3600006      -376.160004    
          58   8.31999969       75.3600006      -373.119995    
          59   5.59999990       76.0000000      -376.559998    
          60   11.0000000       74.3600006      -380.320007    
          61   7.92000008       72.0000000      -381.119995    
          62   11.3999996       68.1999969      -386.959991    
          63   10.2399998       64.8799973      -386.959991    
          64   10.8400002       62.5999985      -373.760010    
          65   8.84000015       57.0000000      -370.160004    
          66   11.9600000       62.8400002      -380.000000    
          67   7.55999994       62.7599983      -380.000000    
          68   9.15999985       63.5600014      -378.959991    
          69   12.3599997       59.9599991      -377.760010    
          70   9.72000027       66.4400024      -383.200012    
          71   5.48000002       63.0800018      -376.239990    
          72   13.4799995       69.8000031      -381.600006    
          73   13.0799999       68.4400024      -384.720001    
          74   5.11999989       69.6800003      -389.119995    
          75 -0.159999996       70.4800034      -384.000000    
          76   1.32000005       76.2799988      -389.600006    
          77  -2.75999999       78.5999985      -386.959991    
          78  -3.96000004       73.8000031      -386.720001    
          79  -1.08000004       71.3199997      -382.799988    
          80 -0.879999995       74.8799973      -386.720001    
          81  -1.20000005       71.5199966      -384.320007    
          82  -3.40000010       69.6399994      -378.239990    
          83   1.63999999       68.2799988      -381.760010    
          84  -2.20000005       71.0800018      -384.000000    
          85   1.55999994       74.2799988      -384.959991    
          86  -3.68000007       66.9599991      -386.000000    
          87  -5.71999979       67.6399994      -382.880005    
          88  -7.55999994       62.9199982      -374.640015    
          89  -5.23999977       66.0400009      -381.839996    
          90   0.00000000       65.2799988      -386.399994    
          91  -1.88000000       61.3199997      -382.399994    
          92  -5.55999994       63.5600014      -373.279999    
          93  -7.28000021       65.1999969      -375.040009    
          94  -9.56000042       65.4800034      -382.559998    
          95  -6.71999979       70.1600037      -376.160004    
          96  -6.36000013       70.1200027      -377.040009    
          97  -8.43999958       70.7600021      -382.559998    
          98  -5.03999996       66.8000031      -378.799988    
          99  -14.7600002       74.0400009      -373.920013    
         100  -11.0400000       80.4000015      -375.839996    
         101  -10.8400002       82.5199966      -381.359985    
         102  -9.64000034       80.7600021      -377.920013    
         103  -7.51999998       78.8799973      -382.880005    
         104  -9.84000015       82.8799973      -379.760010    
         105  -14.6000004       85.4000015      -382.239990    
         106  -10.2799997       84.7600021      -385.359985    
         107  -10.7200003       80.8799973      -387.760010    
         108  -7.59999990       76.8000031      -378.640015    
         109  -8.60000038       76.8399963      -381.359985    
         110  -10.8000002       74.2399979      -375.279999    
         111  -13.6000004       76.9599991      -380.079987    
         112  -11.3999996       72.8399963      -378.559998    
         113  -9.23999977       71.4000015      -382.640015    
         114  -12.8400002       72.3600006      -385.679993    
         115  -8.60000038       72.2799988      -386.160004    
         116  -2.24000001       76.4000015      -375.679993    
         117  -3.99999991E-02   73.0800018      -376.880005    
         118   5.23999977       76.7600021      -374.239990    
         119   3.48000002       75.4800034      -368.160004    
