 tiempo ave_magnetization ave_absmagnetization ave_energy
           1   3.75999999       22.4799995      -157.039993    
           2   1.24000001       34.2799988      -275.760010    
           3   3.68000007       37.1199989      -315.200012    
           4 -0.720000029       40.3199997      -345.279999    
           5  -1.75999999       41.0400009      -359.440002    
           6  -9.15999985       45.4799995      -381.359985    
           7  -12.7200003       51.5999985      -388.399994    
           8  -10.9600000       54.7200012      -386.239990    
           9  -9.60000038       55.9199982      -396.640015    
          10  -8.23999977       59.2000008      -405.679993    
          11  -9.68000031       55.7599983      -409.440002    
          12  -16.7199993       57.3600006      -406.399994    
          13  -17.9200001       58.2400017      -406.000000    
          14  -17.6000004       59.0400009      -413.279999    
          15  -28.2399998       66.1600037      -412.559998    
          16  -29.1599998       68.3600006      -413.440002    
          17  -26.7199993       69.1999969      -415.920013    
          18  -29.7999992       69.9599991      -414.079987    
          19  -29.6800003       77.6800003      -413.200012    
          20  -26.3600006       74.6800003      -420.160004    
          21  -22.0799999       75.9199982      -416.559998    
          22  -22.5599995       85.1999969      -426.079987    
          23  -23.9599991       84.1200027      -426.799988    
          24  -29.7600002       86.0000000      -421.760010    
          25  -30.8799992       91.1200027      -428.320007    
          26  -30.9200001       94.1200027      -433.359985    
          27  -30.5200005       87.8000031      -429.279999    
          28  -25.0000000       90.2799988      -425.760010    
          29  -25.4400005       89.4400024      -432.880005    
          30  -19.9599991       90.4400024      -434.239990    
          31  -17.9200001       88.2399979      -430.640015    
          32  -20.6800003       90.4400024      -430.799988    
          33  -22.2399998       91.8399963      -428.720001    
          34  -21.7999992       93.8000031      -439.839996    
          35  -19.3999996       94.6800003      -435.040009    
          36  -17.0799999       91.7200012      -428.959991    
          37  -17.8400002       92.3199997      -432.880005    
          38  -15.3199997       89.0000000      -430.160004    
          39  -16.5599995       91.3600006      -430.959991    
          40  -14.9600000       94.4000015      -432.799988    
          41  -14.8400002       97.0800018      -438.559998    
          42  -14.6800003       95.1600037      -441.760010    
          43  -12.1999998       95.8000031      -434.559998    
          44  -11.0000000       94.4400024      -433.600006    
          45  -17.1200008       96.7200012      -431.920013    
          46  -13.0799999       99.3199997      -432.959991    
          47  -14.9200001       105.480003      -427.040009    
          48  -7.28000021       104.000000      -428.000000    
          49  -8.03999996       104.360001      -428.799988    
          50  -7.48000002       104.519997      -433.519989    
          51  -1.72000003       109.480003      -430.640015    
          52  -1.32000005       111.639999      -426.079987    
          53 -0.119999997       114.360001      -438.720001    
          54 -0.639999986       121.919998      -440.399994    
          55  -2.72000003       119.760002      -438.799988    
          56  0.720000029       119.360001      -429.200012    
          57 -0.600000024       114.919998      -433.679993    
          58   2.24000001       117.839996      -438.799988    
          59   2.79999995       122.160004      -442.480011    
          60   2.40000010       119.919998      -442.559998    
          61   5.11999989       122.559998      -444.399994    
          62   7.44000006       115.279999      -445.119995    
          63   8.11999989       116.680000      -441.600006    
          64   11.2799997       112.000000      -434.799988    
          65   9.39999962       116.519997      -439.839996    
          66   5.32000017       118.040001      -442.799988    
          67   6.00000000       119.279999      -440.480011    
          68   3.03999996       118.080002      -437.279999    
          69   7.48000002       120.279999      -440.239990    
          70   7.23999977       120.919998      -442.480011    
          71   7.28000021       114.400002      -437.279999    
          72   9.35999966       115.120003      -438.399994    
          73   4.11999989       118.680000      -442.320007    
          74  -1.44000006       122.160004      -443.760010    
          75  -2.24000001       120.239998      -445.279999    
          76  -2.24000001       119.440002      -443.519989    
          77  -5.55999994       126.120003      -448.880005    
          78  -8.31999969       128.800003      -451.679993    
          79  -4.84000015       126.519997      -444.160004    
          80  -12.7200003       125.199997      -443.440002    
          81  -6.11999989       125.559998      -447.040009    
          82  -10.7200003       127.760002      -458.959991    
          83  -10.9600000       129.679993      -446.000000    
          84  -7.48000002       130.679993      -444.640015    
          85  -7.23999977       124.839996      -447.200012    
          86  -6.19999981       124.440002      -445.920013    
          87  -7.44000006       124.480003      -442.799988    
          88  -12.8000002       119.839996      -438.480011    
          89  -15.2399998       121.559998      -438.239990    
          90  -20.0799999       124.720001      -442.399994    
          91  -19.9200001       120.400002      -442.559998    
          92  -17.2800007       119.440002      -435.679993    
          93  -18.4799995       122.160004      -443.600006    
          94  -14.1999998       122.760002      -441.279999    
          95  -14.9200001       125.959999      -437.519989    
          96  -9.52000046       126.080002      -432.320007    
          97  -7.59999990       125.199997      -435.440002    
          98  -14.3999996       125.599998      -440.320007    
          99  -12.6400003       125.360001      -435.519989    
         100  -9.31999969       123.800003      -443.600006    
         101  -12.6800003       125.639999      -445.440002    
         102  -14.0400000       126.040001      -442.640015    
         103  -13.1999998       126.320000      -439.440002    
         104  -16.7999992       120.239998      -434.480011    
         105  -16.4400005       122.839996      -436.799988    
         106  -15.6400003       120.919998      -431.920013    
         107  -17.5599995       119.480003      -433.200012    
         108  -19.5200005       122.639999      -433.279999    
         109  -20.5599995       123.760002      -437.040009    
         110  -21.0799999       122.279999      -440.239990    
         111  -21.4400005       123.760002      -438.880005    
         112  -16.9599991       119.680000      -434.799988    
         113  -15.0799999       116.760002      -435.679993    
         114  -12.0799999       116.720001      -431.839996    
         115  -15.5200005       121.599998      -437.119995    
         116  -12.1599998       118.160004      -433.760010    
         117  -13.2799997       120.559998      -434.720001    
         118  -10.8400002       120.360001      -440.640015    
         119  -12.5600004       122.000000      -438.559998    
         120  -16.0400009       127.559998      -442.959991    
         121  -14.9200001       123.879997      -444.959991    
         122  -12.2799997       124.199997      -448.320007    
         123  -13.9600000       119.959999      -439.600006    
         124  -12.3199997       124.080002      -437.600006    
         125  -13.1199999       119.760002      -444.559998    
         126  -7.59999990       111.599998      -435.600006    
         127  -6.11999989       113.000000      -433.600006    
         128  -11.1199999       110.559998      -430.959991    
         129  -10.6400003       110.800003      -431.519989    
         130  -8.88000011       108.320000      -428.000000    
         131  -6.92000008       111.720001      -431.519989    
         132  -5.15999985       106.519997      -432.880005    
         133  -12.5200005       105.559998      -436.640015    
         134  -14.8000002       98.4000015      -441.920013    
         135  -15.4799995       98.6800003      -437.920013    
         136  -15.8400002       101.760002      -437.440002    
         137  -20.7999992       99.1999969      -438.320007    
         138  -14.4399996       100.839996      -443.040009    
