 tiempo ave_magnetization ave_absmagnetization ave_energy
           1 -0.439999998       26.5200005      -199.600006    
         126  -24.3999996       335.600006      -773.599976    
         127  -25.3199997       335.320007      -775.440002    
         128  -24.9599991       335.600006      -776.320007    
         129  -25.0400009       335.839996      -774.880005    
         130  -24.6000004       336.359985      -773.280029    
         131  -24.7600002       336.519989      -773.039978    
         132  -24.6000004       336.279999      -774.960022    
         133  -25.0400009       336.239990      -775.039978    
         134  -26.0400009       335.799988      -774.320007    
         135  -25.1200008       336.000000      -774.080017    
         136  -25.7999992       335.959991      -774.880005    
         137  -26.4799995       335.519989      -774.559998    
         138  -27.4400005       334.959991      -774.159973    
         139  -28.1200008       333.799988      -774.159973    
         140  -27.3999996       334.600006      -774.000000    
         141  -28.5599995       335.679993      -774.320007    
         142  -29.3199997       335.160004      -773.359985    
         143  -28.4799995       335.119995      -773.039978    
         144  -27.3999996       335.640015      -774.320007    
         145  -28.1599998       335.600006      -774.000000    
         146  -27.4400005       336.320007      -773.200012    
         147  -27.2000008       336.799988      -771.919983    
         148  -27.1200008       337.040009      -772.559998    
         149  -26.6399994       337.760010      -773.520020    
         150  -26.7199993       337.839996      -772.640015    
         151  -27.0000000       338.679993      -774.640015    
         152  -26.8799992       338.640015      -774.559998    
         153  -27.2000008       338.480011      -773.840027    
         154  -27.9200001       339.119995      -772.479980    
         155  -28.2000008       338.920013      -774.239990    
         156  -27.8799992       339.079987      -774.320007    
         157  -26.8400002       340.119995      -774.640015    
         158  -27.0400009       340.320007      -774.000000    
         159  -26.6399994       341.760010      -774.719971    
         160  -27.3999996       341.480011      -775.520020    
         161  -27.4400005       341.839996      -773.840027    
         162  -28.7999992       342.160004      -772.880005    
         163  -28.4799995       343.519989      -774.799988    
         164  -28.7600002       343.640015      -776.080017    
         165  -28.1599998       344.480011      -774.880005    
         166  -28.5599995       344.160004      -775.679993    
         167  -29.1599998       343.720001      -774.400024    
         168  -29.1599998       344.119995      -774.400024    
         169  -28.4400005       345.079987      -774.960022    
         170  -28.3999996       345.440002      -774.479980    
         171  -29.2800007       344.959991      -774.799988    
         172  -29.2000008       345.600006      -774.719971    
         173  -30.0799999       344.799988      -775.840027    
         174  -30.2000008       345.399994      -774.000000    
         175  -30.9599991       345.200012      -775.119995    
         176  -30.8799992       345.200012      -774.880005    
         177  -31.3999996       346.279999      -775.520020    
         178  -31.6399994       347.480011      -775.840027    
         179  -31.7999992       348.119995      -775.200012    
         180  -31.3199997       349.000000      -776.320007    
