 tiempo ave_magnetization ave_absmagnetization ave_energy
           1   3.35999990       31.6800003      -176.639999    
           2   7.99999982E-02   44.9599991      -307.600006    
           3 -0.560000002       58.9599991      -378.239990    
           4  -4.84000015       69.5599976      -419.519989    
           5  -6.00000000       74.1600037      -444.959991    
           6  -5.48000002       79.9599991      -465.519989    
           7  -5.76000023       84.1600037      -481.679993    
           8  -1.36000001       90.4800034      -493.440002    
           9  -1.51999998       95.5999985      -514.159973    
          10  -2.16000009       100.720001      -522.320007    
          11  -8.07999992       108.320000      -527.200012    
          12  -5.48000002       114.760002      -538.640015    
          13 -0.519999981       114.120003      -536.799988    
          14 -0.839999974       115.160004      -541.760010    
          15   1.84000003       114.959999      -544.559998    
          16   5.32000017       117.879997      -553.440002    
          17   4.63999987       119.839996      -553.200012    
          18   9.35999966       127.839996      -551.599976    
          19   10.8400002       132.759995      -549.919983    
          20   11.3199997       136.199997      -552.400024    
          21   6.32000017       139.520004      -560.320007    
          22   3.55999994       144.600006      -564.400024    
          23   6.44000006       151.880005      -566.559998    
          24   9.88000011       151.479996      -568.239990    
          25   12.7200003       154.399994      -572.559998    
          26   13.3999996       156.520004      -575.919983    
          27   13.1999998       156.960007      -573.359985    
          28   12.0400000       160.919998      -575.440002    
          29   15.3199997       162.520004      -574.799988    
          30   14.0799999       165.759995      -576.799988    
          31   16.4799995       165.440002      -576.559998    
          32   12.1599998       167.039993      -576.159973    
          33   15.8800001       173.479996      -579.520020    
          34   17.0000000       180.279999      -585.359985    
          35   18.2800007       181.639999      -582.080017    
          36   18.9599991       183.119995      -582.880005    
          37   24.3199997       187.199997      -579.840027    
          38   26.0000000       191.679993      -581.679993    
          39   26.2800007       192.520004      -584.239990    
          40   23.7999992       193.399994      -586.799988    
          41   29.6800003       198.479996      -590.640015    
          42   31.7600002       201.440002      -592.880005    
          43   32.0400009       204.600006      -592.559998    
          44   34.0000000       209.759995      -598.479980    
          45   31.2000008       213.440002      -598.719971    
          46   30.9599991       212.639999      -599.440002    
          47   31.1200008       215.360001      -597.679993    
          48   32.4799995       220.160004      -600.159973    
          49   31.9200001       220.399994      -602.559998    
          50   29.6000004       220.960007      -604.719971    
          51   28.8799992       220.720001      -603.520020    
          52   30.1599998       224.960007      -605.039978    
          53   29.8799992       231.399994      -609.039978    
          54   30.2800007       234.279999      -608.400024    
          55   29.2800007       236.000000      -614.960022    
          56   31.7999992       238.919998      -618.239990    
          57   28.7600002       240.279999      -618.640015    
          58   29.2800007       243.440002      -618.080017    
          59   27.7999992       246.520004      -616.640015    
          60   29.3199997       246.839996      -620.640015    
          61   31.6000004       252.160004      -623.520020    
          62   32.9599991       257.200012      -624.479980    
          63   37.6399994       261.000000      -626.320007    
          64   37.1599998       265.720001      -629.919983    
          65   39.0400009       268.079987      -632.159973    
          66   36.7599983       274.040009      -634.880005    
          67   37.2400017       275.320007      -635.119995    
          68   40.4399986       279.480011      -636.000000    
          69   39.4000015       279.799988      -634.640015    
          70   39.1599998       278.920013      -633.440002    
          71   38.4799995       280.799988      -638.080017    
          72   35.4799995       280.200012      -638.799988    
          73   36.0000000       283.359985      -639.599976    
          74   37.5600014       285.320007      -642.640015    
          75   39.7200012       287.160004      -643.280029    
          76   37.4399986       289.839996      -647.599976    
          77   34.4399986       289.799988      -652.640015    
          78   32.2000008       289.000000      -651.039978    
          79   32.9599991       289.119995      -647.520020    
          80   33.9599991       292.040009      -652.640015    
          81   31.2000008       290.480011      -647.760010    
          82   32.6399994       293.040009      -653.520020    
          83   33.7599983       293.519989      -648.559998    
          84   32.5200005       294.920013      -648.400024    
          85   33.1599998       295.320007      -655.840027    
          86   31.5200005       295.679993      -655.599976    
          87   28.4799995       293.519989      -646.400024    
          88   27.4400005       294.480011      -648.080017    
          89   32.0000000       299.679993      -652.080017    
          90   30.2399998       303.200012      -658.239990    
          91   30.7199993       305.679993      -660.799988    
          92   30.6800003       307.000000      -662.479980    
          93   29.4799995       305.079987      -659.119995    
          94   28.4400005       307.000000      -657.440002    
          95   29.0400009       307.040009      -658.559998    
          96   29.7199993       307.559998      -660.159973    
          97   28.5599995       307.440002      -664.719971    
          98   26.8799992       308.880005      -659.359985    
          99   26.8799992       309.279999      -654.719971    
         100   30.6000004       313.079987      -659.840027    
         101   30.9599991       313.440002      -663.760010    
         102   34.0000000       314.320007      -662.559998    
         103   34.3199997       312.239990      -660.080017    
         104   34.3199997       314.559998      -663.280029    
         105   36.2400017       314.399994      -659.280029    
         106   35.3199997       315.079987      -662.880005    
         107   32.9599991       316.079987      -662.320007    
         108   33.6399994       317.079987      -665.200012    
         109   33.0800018       320.279999      -672.000000    
         110   32.7999992       320.559998      -671.119995    
         111   32.7200012       321.600006      -666.799988    
         112   31.9200001       321.839996      -672.960022    
         113   32.3199997       319.839996      -669.760010    
         114   30.1599998       320.880005      -668.640015    
         115   28.8799992       319.200012      -667.119995    
         116   31.8400002       321.440002      -670.559998    
         117   32.1199989       323.959991      -674.799988    
         118   31.9599991       326.040009      -676.080017    
         119   28.7199993       324.640015      -674.400024    
         120   28.9200001       324.200012      -676.320007    
         121   30.1200008       323.239990      -673.039978    
         122   28.3999996       325.839996      -672.479980    
         123   24.8400002       324.119995      -674.159973    
         124   25.2800007       326.320007      -672.799988    
         125   27.7600002       330.720001      -677.840027    
         126   26.7199993       330.959991      -675.039978    
         127   28.3600006       330.760010      -672.559998    
         128   29.2800007       331.200012      -675.200012    
         129   30.0000000       334.320007      -678.080017    
         130   32.7999992       336.239990      -678.320007    
         131   32.2000008       334.440002      -675.440002    
         132   32.2799988       336.119995      -683.280029    
         133   30.7999992       334.559998      -681.039978    
         134   30.8400002       335.559998      -679.039978    
         135   33.4399986       335.519989      -675.440002    
         136   32.1199989       337.640015      -677.280029    
         137   31.2000008       339.920013      -677.919983    
         138   31.7199993       339.320007      -676.960022    
         139   32.7999992       340.640015      -678.400024    
         140   31.8799992       339.959991      -676.960022    
         141   31.2000008       341.279999      -676.799988    
         142   32.6399994       342.480011      -681.280029    
         143   32.8800011       340.799988      -678.640015    
         144   30.4799995       341.600006      -683.200012    
         145   30.0000000       340.000000      -684.559998    
         146   28.1599998       339.359985      -679.840027    
         147   28.7999992       338.320007      -675.840027    
         148   28.0400009       339.160004      -678.400024    
         149   26.2800007       338.119995      -677.520020    
