 B-Field, AverMagnetization, AverMagnetization^2, Suceptibility, Cumulant
   0.00000000     ,   4.3999999985098841E-004 ,   2.4869999873638679E-003 ,                  Infinity ,  -3.5336612333992434E-002
   9.99999978E-03 ,   9.8560000116005533E-002 ,   1.2194320034373885E-002 ,  0.24802464115068740      ,  0.42786370279572539     
   1.99999996E-02 ,  0.19666499964240938      ,   4.1066424787613340E-002 ,  0.11946513516322282      ,  0.59199954778103314     
   2.99999993E-02 ,  0.29002699946314098      ,   8.6338834755251018E-002 ,   7.4105816909099481E-002 ,  0.63283607280179921     
   3.99999991E-02 ,  0.38067799994647505      ,  0.14708818994092707      ,   5.4311257441964911E-002 ,  0.64724058258724404     
   4.99999970E-02 ,  0.46084299943447116      ,  0.21430050444829152      ,   3.8484690080816550E-002 ,  0.65482714770282380     
   5.99999987E-02 ,  0.53645699895024301      ,  0.28949264393810670      ,   2.8442205760062528E-002 ,  0.65888816573775033     
   7.00000003E-02 ,  0.60516099984049798      ,  0.36780811479575543      ,   2.2689700752246040E-002 ,  0.66093796000271610     
   7.99999982E-02 ,  0.66391999934911727      ,  0.44219350916492178      ,   1.7546795364873496E-002 ,  0.66246525271700052     
   8.99999961E-02 ,  0.71634000072479243      ,  0.51433242104705190      ,   1.3215827393027789E-002 ,  0.66359631060835866     
   9.99999940E-02 ,  0.76233399941921232      ,  0.58225407907884208      ,   1.1009525133455119E-002 ,  0.66416256089545100     
  0.109999999     ,  0.80189499984979629      ,  0.64392265481874555      ,   8.0642184198280124E-003 ,  0.66484019417521001     
  0.119999997     ,  0.83404900040626528      ,  0.69639328576990700      ,   6.2962562405052651E-003 ,  0.66522740904572109     
  0.129999995     ,  0.86286300121545789      ,  0.74516629697677195      ,   4.8749087029077275E-003 ,  0.66553991246667987     
  0.140000001     ,  0.88527299799919124      ,  0.78423269136339946      ,   3.7457883708731784E-003 ,  0.66577965812336926     
  0.149999991     ,  0.90526899930238725      ,  0.81995828391024550      ,   2.9754855572151910E-003 ,  0.66594498633009069     
  0.159999996     ,  0.92202600204944607      ,  0.85049292381496977      ,   2.2560959980287565E-003 ,  0.66610324805024967     
  0.170000002     ,  0.93475100004673006      ,  0.87407039490018323      ,   1.8291929758244567E-003 ,  0.66619387446147316     
  0.179999992     ,  0.94709999580383297      ,  0.89724326190827852      ,   1.3603326018552628E-003 ,  0.66630412345506862     
  0.189999998     ,  0.95667399613857274      ,  0.91543806273681749      ,   1.1206728791627711E-003 ,  0.66635793532562371     
  0.199999988     ,  0.96416699969768527      ,  0.92979476469469213      ,   8.8380702756567329E-004 ,  0.66641458320077662     
  0.199999988     ,  0.96460100040435792      ,  0.93062863606310819      ,   8.6773049285390725E-004 ,  0.66641927511181298     
  0.189999998     ,  0.95609699541330340      ,  0.91432924633253665      ,   1.0935878537303876E-003 ,  0.66636525101930366     
  0.179999992     ,  0.94702599630355833      ,  0.89711675287711445      ,   1.4361956371897707E-003 ,  0.66628415019918696     
  0.170000002     ,  0.93571999927759175      ,  0.87588705844730175      ,   1.8537729013802565E-003 ,  0.66618946806139245     
  0.159999996     ,  0.92102000147104268      ,  0.84866621274856135      ,   2.4273102427620208E-003 ,  0.66606012126514069     
  0.149999991     ,  0.90544099903106690      ,  0.82025538343178817      ,   2.8798715067344847E-003 ,  0.66596688972904516     
  0.140000001     ,  0.88517299799919125      ,  0.78408044135362065      ,   3.9228925821910704E-003 ,  0.66573736419514529     
  0.129999995     ,  0.86125000160932541      ,  0.74240206267244824      ,   5.0038263238303526E-003 ,  0.66550580900714429     
  0.119999997     ,  0.83366500059366222      ,  0.69572442607791352      ,   6.0591076546290361E-003 ,  0.66528261516777576     
  0.109999999     ,  0.80023000023365021      ,  0.64128080040640967      ,   8.2977011250652353E-003 ,  0.66478528427325767     
   9.99999940E-02 ,  0.76199199954271313      ,  0.58167568926865121      ,   1.0438820011014732E-002 ,  0.66428739164801875     
   8.99999961E-02 ,  0.71586100060939784      ,  0.51364233590392394      ,   1.3170708521757732E-002 ,  0.66359840658564284     
   7.99999982E-02 ,  0.66441699948310851      ,  0.44278310437180773      ,   1.6664439620884403E-002 ,  0.66267111298113091     
   7.00000003E-02 ,  0.60543900015950203      ,  0.36812461516512635      ,   2.2403317657614503E-002 ,  0.66104342307294051     
   5.99999987E-02 ,  0.53598499906659125      ,  0.28903255405969375      ,   2.9210582816589295E-002 ,  0.65861737291617262     
   4.99999970E-02 ,  0.46237699946165084      ,  0.21570640445408512      ,   3.8278300109016040E-002 ,  0.65492086360573087     
   3.99999991E-02 ,  0.37907500008642675      ,  0.14582468503713805      ,   5.3170733665340586E-002 ,  0.64739130623663510     
   2.99999993E-02 ,  0.29121799927949904      ,   8.7075709652746094E-002 ,   7.5592890713672242E-002 ,  0.63256494449041645     
   1.99999996E-02 ,  0.19714699964150786      ,   4.1271184799267474E-002 ,  0.12021226658093867      ,  0.59272292966226314     
   9.99999978E-03 ,   9.9687000119313599E-002 ,   1.2337335035615543E-002 ,  0.23998370428275143      ,  0.43581411556892802     
   0.00000000     ,   1.1520000139251352E-003 ,   2.4988000154147843E-003 ,                  Infinity ,   2.6792258025324478E-002
  -9.99999978E-03 ,  -9.9756000110134482E-002 ,   1.2426670036060667E-002 , -0.24754104780875166      ,  0.42598891900693359     
  -1.99999996E-02 , -0.19743599948957563      ,   4.1347549722854947E-002 , -0.11832879142036207      ,  0.59284693844240433     
  -2.99999993E-02 , -0.29111499937474727      ,   8.7044564705966443E-002 ,  -7.6554067340856069E-002 ,  0.63194850479517495     
