 B-Field, AverEnergy, AverEnergy^2, C_v
   0.00000000     ,  -2.0000000000000000      ,   4.0000000000000000      ,                       NaN
   9.99999978E-03 ,  -2.0004928650093081      ,   4.0019717649606577      ,   6.2007507573014209E-004
   1.99999996E-02 ,  -2.0019666481244558      ,   4.0078706991325914      ,   5.9732480739427274E-004
   2.99999993E-02 ,  -2.0043504777427334      ,   4.0174213378448460      ,   5.5579713276084769E-004
   3.99999991E-02 ,  -2.0076135527391443      ,   4.0305130461203964      ,   5.4311156683084505E-004
   4.99999970E-02 ,  -2.0115211510856859      ,   4.0462185439149208      ,   4.8106004545918194E-004
   5.99999987E-02 ,  -2.0160936946518437      ,   4.0646353214908642      ,   4.2663228943287147E-004
   7.00000003E-02 ,  -2.0211807104756301      ,   4.0851734100435149      ,   3.9707035918779059E-004
   7.99999982E-02 ,  -2.0265567746734634      ,   4.1069346069603654      ,   3.5093522726681314E-004
   8.99999961E-02 ,  -2.0322353715598585      ,   4.1299830140051750      ,   2.9735634300157715E-004
   9.99999940E-02 ,  -2.0381166636490811      ,   4.1539222870199275      ,   2.7523764958575645E-004
  0.109999999     ,  -2.0441042903402584      ,   4.1783650331565267      ,   2.2176602507568977E-004
  0.119999997     ,  -2.0500428922753189      ,   4.2026785801454816      ,   1.8888732350633164E-004
  0.129999995     ,  -2.0560861443734195      ,   4.2274929106331651      ,   1.5843484814689985E-004
  0.140000001     ,  -2.0619690440633942      ,   4.2517189082864526      ,   1.3110259021198201E-004
  0.149999991     ,  -2.0678952181665826      ,   4.2761931438843401      ,   1.1158082029295078E-004
  0.159999996     ,  -2.0737620050073771      ,   4.3004911636533372      ,   9.0243793757216473E-005
  0.170000002     ,  -2.0794538706579164      ,   4.3241306469038676      ,   7.7740813756254788E-005
  0.179999992     ,  -2.0852389155566589      ,   4.3482233183168768      ,   6.1214974172809180E-005
  0.189999998     ,  -2.0908840573706855      ,   4.3717980630406981      ,   5.3231960073350253E-005
  0.199999988     ,  -2.0964166059140736      ,   4.3949643531620239      ,   4.4190253601018835E-005
  0.199999988     ,  -2.0964600058985505      ,   4.3951462917888202      ,   4.3386426678532839E-005
  0.189999998     ,  -2.0908292423541770      ,   4.3715687959132570      ,   5.1945425957844278E-005
  0.179999992     ,  -2.0852322555585938      ,   4.3481956535950141      ,   6.4628803730712022E-005
  0.170000002     ,  -2.0795362356948881      ,   4.3244732324681268      ,   7.8785463661879099E-005
