 Temperature,Magnetization,Magnetization^2,Suceptibility,Cumulant,Average
   4.74897957     ,   7.5964355468749996E-005 ,   2.0440592020750046E-004 ,   4.3040857815327785E-005 ,   4.1339738930589176E-003 ,           4
   4.66530609     ,   1.6992187499999999E-004 ,   1.8645724654197692E-004 ,   3.9960588418172501E-005 ,   2.2161219192423642E-002 ,           4
   4.58163261     ,   4.3258056640624998E-004 ,   2.2582141906023025E-004 ,   4.9247574065505809E-005 ,  -3.6578368680471263E-002 ,           4
   4.49795914     ,   8.5323486328125000E-004 ,   1.9146710783243180E-004 ,   4.2405697115922684E-005 ,   3.3993242140033186E-002 ,           4
   4.41428566     ,   2.1333007812500001E-004 ,   2.0484284758567810E-004 ,   4.6394218093997177E-005 ,   3.4912921695852028E-002 ,           4
   4.33061218     ,   6.3693847656250005E-004 ,   2.2880810201168059E-004 ,   5.2741368124267596E-005 ,  -8.4469394845749779E-003 ,           4
   4.24693871     ,   7.6457519531249998E-004 ,   2.2495704591274262E-004 ,   5.2831577407064595E-005 ,   2.7558725134266271E-002 ,           4
   4.16326523     ,   1.2843139648437501E-003 ,   2.5283025354146956E-004 ,   6.0332641165787995E-005 ,  -3.5429014031356232E-003 ,           4
   4.07959175     ,   8.8917236328124995E-004 ,   2.3820811659097671E-004 ,   5.8196384335800832E-005 ,   5.4861114845462966E-002 ,           4
   3.99591827     ,   4.7985839843750001E-005 ,   2.6378891617059706E-004 ,   6.6014018179180812E-005 ,   4.9079659916663076E-002 ,           4
   3.91224480     ,   2.7095947265625000E-004 ,   2.7252788394689561E-004 ,   6.9641465721257843E-005 ,   7.1176531541849775E-002 ,           4
   3.82857132     ,   8.2406005859375002E-004 ,   2.7781036347150802E-004 ,   7.2385043709247748E-005 ,  -5.2856530730276408E-003 ,           4
   3.74489784     ,   9.0749511718749996E-004 ,   2.9771033823490143E-004 ,   7.9277671115863220E-005 ,  -6.4825812774168545E-002 ,           4
   3.66122437     ,   1.0108154296875000E-003 ,   2.9547726213932039E-004 ,   8.0425424307039540E-005 ,   7.3199587267627764E-002 ,           4
   3.57755113     ,   9.5610351562499998E-004 ,   3.9115713238716123E-004 ,   1.0908103888842966E-004 ,  -1.1594290778158767E-002 ,           4
   3.49387765     ,   1.2200195312500001E-003 ,   4.2705134153366091E-004 ,   1.2180246141428762E-004 , -0.13158720674371960      ,           4
   3.41020393     ,   1.7679321289062501E-003 ,   3.9887051731348036E-004 ,   1.1604729316729495E-004 ,   3.9849366059566904E-002 ,           4
   3.32653046     ,   2.4621582031249999E-005 ,   4.9617420583963391E-004 ,   1.4915649356715864E-004 ,  0.11653516793819385      ,           4
   3.24285722     ,   1.4689208984375000E-003 ,   5.9721425473690029E-004 ,   1.8349759522405377E-004 ,   1.2792188931592952E-003 ,           4
   3.15918374     ,   6.3497314453124997E-004 ,   5.6703527718782426E-004 ,   1.7936028680396246E-004 ,   2.5426029864741073E-002 ,           4
   3.07551026     ,   2.4234497070312502E-003 ,   5.5440780073404312E-004 ,   1.7835566995747919E-004 ,   5.3031850192894137E-002 ,           4
   2.99183679     ,   3.2064453124999999E-003 ,   6.7119344770908351E-004 ,   2.2090514333845580E-004 ,  -1.4628688711197491E-002 ,           4
   2.90816331     ,   2.3160278320312499E-003 ,   9.6488599926233289E-004 ,   3.2994089705725170E-004 ,   1.6966995748088354E-002 ,           4
   2.82448983     ,   1.6317138671875001E-003 ,   7.3961414694786076E-004 ,   2.6091495250246590E-004 ,  -3.7315708883391530E-002 ,           4
   2.74081635     ,   7.0570434570312503E-003 ,   1.0608873978257178E-003 ,   3.6889942358926323E-004 ,   4.3875275091306509E-002 ,           4
   2.65714288     ,   8.2498779296875002E-004 ,   1.3888832971453667E-003 ,   5.2244187166184970E-004 ,  0.11629369862284966      ,           4
   2.57346940     ,   1.0759399414062501E-002 ,   1.6792885601520538E-003 ,   6.0755489445029275E-004 ,   1.8773384928717607E-002 ,           4
   2.48979592     ,   8.8863891601562509E-003 ,   5.1676209315657615E-003 ,   2.0438032518894388E-003 ,  0.33556527243455492      ,           4
   2.40612245     ,   2.5838879394531250E-002 ,   5.1898822292685510E-003 ,   1.8794697943814724E-003 ,  0.26460484226127845      ,           4
   2.32244897     ,  0.10882788085937500      ,   2.4526325428485870E-002 ,   5.4609671751302477E-003 ,  0.27656450878552852      ,           4
   2.23877549     ,  0.72531589355468751      ,  0.52674939729273318      ,   2.9759653763478317E-004 ,  0.66470901271151150      ,           4
   2.15510225     ,  0.83006859130859378      ,  0.68904971525520087      ,   1.6634467061190549E-005 ,  0.66629931816565047      ,           4
   2.07142854     ,  0.88461347656250000      ,  0.78238269425630569      ,  -7.6424873447504752E-005 ,  0.66663676777333403      ,           4
   1.98775530     ,  0.91577242431640626      ,  0.83842733458429575      ,  -1.0655161877832201E-004 ,  0.66670357218067533      ,           4
   1.90408158     ,  0.93805391845703123      ,  0.87970352068096402      ,  -1.2690277589760804E-004 ,  0.66673292359335212      ,           4
   1.82040811     ,  0.95365944824218751      ,  0.90920864497423171      ,  -1.4156070137999013E-004 ,  0.66674457224034456      ,           4
   1.73673487     ,  0.96580073242187503      ,  0.93250011964440349      ,  -1.5600257516750751E-004 ,  0.66675404733937094      ,           4
   1.65306115     ,  0.97536384277343746      ,  0.95105462650358674      ,  -1.6938228340821799E-004 ,  0.66675919155150631      ,           4
   1.56938791     ,  0.98229492187500000      ,  0.96461763476133344      ,  -1.8203198092734953E-004 ,  0.66676151818129115      ,           4
   1.48571444     ,  0.98764770507812505      ,  0.97515783351659779      ,  -1.9529717696122842E-004 ,  0.66676336987904694      ,           4
   1.40204072     ,  0.99152071533203123      ,  0.98281997937411070      ,  -2.0923041308668817E-004 ,  0.66676460832312612      ,           4
   1.31836748     ,  0.99455657958984378      ,  0.98884696162492036      ,  -2.2438992913626600E-004 ,  0.66676552415429735      ,           4
   1.23469377     ,  0.99665211181640623      ,  0.99301807240694762      ,  -2.4083671368738948E-004 ,  0.66676590435987726      ,           4
   1.15102053     ,  0.99812739257812499      ,  0.99595980775058268      ,  -2.5932124241815469E-004 ,  0.66676623018237868      ,           4
   1.06734705     ,  0.99909774169921872      ,  0.99789708992689852      ,  -2.8032826495109507E-004 ,  0.66676642093493099      ,           4
  0.983673573     ,  0.99966874999999999      ,  0.99903798001706601      ,  -3.0460278069297989E-004 ,  0.66676652773988287      ,           4
  0.900000095     ,   1.0000079345703126      ,  0.99971599054336546      ,  -3.3319849149213095E-004 ,  0.66676658851503889      ,           4
