 Temperature, Energy,Energy^2,C_v,Average
   5.00000000     , -0.42905837402343749      ,  0.18418253530859946      ,   3.6578798174461798E-006 ,           1
   4.91632652     , -0.43673713378906248      ,  0.19083321989178659      ,   3.8847674271046748E-006 ,           1
   4.83265305     , -0.44528120117187497      ,  0.19836862593889237      ,   3.9939915432031326E-006 ,           1
   4.74897957     , -0.45508640136718748      ,  0.20719968956112861      ,   4.2591972654944974E-006 ,           1
   4.66530609     , -0.46340874023437501      ,  0.21484464886188506      ,   4.4561442757796246E-006 ,           1
   4.58163261     , -0.47453574218750000      ,  0.22527193498611450      ,   4.1809763185635379E-006 ,           1
   4.49795914     , -0.48415249023437501      ,  0.23448903548717498      ,   4.2211949075254067E-006 ,           1
   4.41428566     , -0.49441245117187499      ,  0.24452133215665817      ,   3.9854563986861075E-006 ,           1
   4.33061218     , -0.50675778808593752      ,  0.25688526085019114      ,   4.3619592453924746E-006 ,           1
   4.24693871     , -0.51772722167968754      ,  0.26812350222468379      ,   4.5477896447925264E-006 ,           1
   4.16326523     , -0.53107539062499998      ,  0.28212003883123399      ,   4.5560096130103153E-006 ,           1
   4.07959175     , -0.54387348632812504      ,  0.29587508617639541      ,   4.6095492991014134E-006 ,           1
   3.99591827     , -0.55855388183593746      ,  0.31205442641377451      ,   4.5084155068851215E-006 ,           1
   3.91224480     , -0.57292011718750002      ,  0.32831310750246046      ,   4.9424087928866241E-006 ,           1
   3.82857132     , -0.58861196289062501      ,  0.34652914522886274      ,   4.4414353681160511E-006 ,           1
   3.74489784     , -0.60589055175781248      ,  0.36716241248250009      ,   4.2106870800248324E-006 ,           1
   3.66122437     , -0.62243884277343753      ,  0.38748331817984583      ,   3.9691848195326356E-006 ,           1
   3.57755113     , -0.64189777832031247      ,  0.41208076471686361      ,   3.7508698949490850E-006 ,           1
   3.49387765     , -0.66320007324218755      ,  0.43987606245875360      ,   3.4180956766762194E-006 ,           1
   3.41020393     , -0.68403322753906248      ,  0.46794718243479727      ,   3.9319055026433133E-006 ,           1
   3.32653046     , -0.70657226562499997      ,  0.49929021494388581      ,   4.1432499438687754E-006 ,           1
