 Alfa,posDsty,Temperatura,Energia,Cv,magnetANTI,SusceptAnti,cumulantAnti,magnetFerro,SusceptFerro,cumulantFerro
 -0.949999988     ,  0.500000000     ,   9.99999978E-03 ,  -2.0000000000000000      ,   0.00000000     ,   0.0000000000000000      ,   0.00000000     ,              NaN ,   1.0000000000000000      ,   0.00000000     ,  0.666666687    
 -0.949999988     ,  0.500000000     ,   1.49999997E-02 ,  -1.9999996875001125      ,   1.73171145E-07 ,   3.1249999999999332E-006 ,   2.59765642E-07 ,  -132.333328     ,  0.99999687492847444      ,   2.59777579E-07 ,  0.666666687    
 -0.949999988     ,  0.500000000     ,   1.99999996E-02 ,  -1.9999904937534869      ,   2.98195368E-06 ,   9.1124999999998122E-005 ,   5.51449921E-06 ,  -4.43326378     ,  0.99990437300801283      ,   6.09771178E-06 ,  0.666666508    
 -0.949999988     ,  0.500000000     ,   2.49999985E-02 ,  -1.9999303937763038      ,   1.43067246E-05 ,   5.3387499999995843E-004 ,   2.26303509E-05 , -0.667227328     ,  0.99929261590838436      ,   3.80415586E-05 ,  0.666665375    
 -0.949999988     ,  0.500000000     ,   2.99999975E-02 ,  -1.9997142001152475      ,   4.21793338E-05 ,   1.3162500000000674E-003 ,   4.69370352E-05 , -0.174426362     ,  0.99702098808288575      ,   1.46872626E-04 ,  0.666660786    
 -0.949999988     ,  0.500000000     ,   3.50000001E-02 ,  -1.9992086378460190      ,   9.07766662E-05 ,   2.2386250000000375E-003 ,   9.56864824E-05 , -0.100802526     ,  0.99145186834931376      ,   4.21964243E-04 ,  0.666646659    
 -0.949999988     ,  0.500000000     ,   3.99999991E-02 ,  -1.9982013508663106      ,   1.66604557E-04 ,   3.2600000000000194E-003 ,   1.62747499E-04 ,  -2.75167041E-02 ,  0.97949175267219546      ,   1.10391632E-03 ,  0.666605532    
 -0.949999988     ,  0.500000000     ,   4.49999981E-02 ,  -1.9964824393755247      ,   2.72216566E-04 ,   4.3959999999998497E-003 ,   2.55108258E-04 ,  -1.32109169E-02 ,  0.95660149883031842      ,   2.96474691E-03 ,  0.666473925    
 -0.949999988     ,  0.500000000     ,   4.99999970E-02 ,  -1.9936249975442355      ,   4.64620214E-04 ,   5.6577499999998157E-003 ,   3.79016099E-04 ,  -1.66092124E-02 ,  0.91109350019097324      ,   9.47905425E-03 ,  0.665919006    
 -0.949999988     ,  0.500000000     ,   5.49999960E-02 ,  -1.9888575199912473      ,   7.68919475E-04 ,   7.1518749999996559E-003 ,   5.40589215E-04 ,  -5.41491807E-03 ,  0.80138887519240376      ,   4.88722585E-02 ,  0.661417067    
 -0.949999988     ,  0.500000000     ,   5.99999987E-02 ,  -1.9803940711884818      ,   7.85120705E-04 ,   9.0331249999995970E-003 ,   7.75463530E-04 ,   1.16627906E-02 ,  0.27511962511956228      ,  0.503576875     ,  0.311648846    
 -0.949999988     ,  0.500000000     ,   6.49999976E-02 ,  -1.9756562688928847      ,   4.46507242E-04 ,   9.8542499999995804E-003 ,   8.52490542E-04 ,   1.03585608E-02 ,  0.11073899992639200      ,  0.106098585     ,   4.17273678E-02
 -0.949999988     ,  0.500000000     ,   7.00000003E-02 ,  -1.9727580086808110      ,   3.28436407E-04 ,   1.0516124999999587E-002 ,   8.97161022E-04 ,   2.00087577E-02 ,   8.2447374929976655E-002 ,   5.45955710E-02 ,   3.45519893E-02
 -0.949999988     ,  0.500000000     ,   7.50000030E-02 ,  -1.9704253666959100      ,   2.58726330E-04 ,   1.1299749999999610E-002 ,   9.74504452E-04 ,  -1.73470029E-03 ,   7.0344499921775425E-002 ,   3.96023951E-02 ,  -7.97101185E-02
 -0.949999988     ,  0.500000000     ,   7.99999982E-02 ,  -1.9685913492838001      ,   2.00962051E-04 ,   1.1626124999999538E-002 ,   9.60733567E-04 ,   1.00930966E-02 ,   5.6200624944013546E-002 ,   2.24467441E-02 ,   1.99450888E-02
 -0.949999988     ,  0.500000000     ,   8.50000009E-02 ,  -1.9671375440481351      ,   1.67718928E-04 ,   1.2062249999999618E-002 ,   9.75903647E-04 ,   1.46918539E-02 ,   5.2808999921241773E-002 ,   1.89851522E-02 ,  -2.12602932E-02
 -0.949999988     ,  0.500000000     ,   9.00000036E-02 ,  -1.9659034636346471      ,   1.39017342E-04 ,   1.2451624999999645E-002 ,   1.00576738E-03 ,  -1.03197135E-02 ,   4.7883374942396764E-002 ,   1.45592848E-02 ,   4.17936221E-03
 -0.949999988     ,  0.500000000     ,   9.49999988E-02 ,  -1.9648307580828031      ,   1.21438985E-04 ,   1.2721249999999637E-002 ,   9.68468259E-04 ,  -7.17216218E-03 ,   4.3451249962067229E-002 ,   1.12577081E-02 ,   1.38385352E-02
 -0.949999988     ,  0.500000000     ,  0.100000001     ,  -1.9639154899192643      ,   1.08820597E-04 ,   1.2881874999999664E-002 ,   9.69221408E-04 ,  -1.22243930E-02 ,   4.2041874944325534E-002 ,   1.00218123E-02 ,  -1.31871738E-02
 -0.949999988     ,  0.500000000     ,  0.104999997     ,  -1.9631305654017597      ,   9.17342768E-05 ,   1.3315124999999551E-002 ,   9.85206338E-04 ,  -7.88117666E-03 ,   3.8365124976215886E-002 ,   7.93944206E-03 ,   1.04312226E-02
 -0.949999988     ,  0.500000000     ,  0.109999999     ,  -1.9624091158184707      ,   8.27815820E-05 ,   1.3472124999999545E-002 ,   9.55251162E-04 ,  -8.78108852E-03 ,   3.7406374959950334E-002 ,   7.15826266E-03 ,   1.90225560E-02
 -0.949999988     ,  0.500000000     ,  0.115000002     ,  -1.9617800411832740      ,   7.50241888E-05 ,   1.3822624999999568E-002 ,   9.47213615E-04 ,  -4.77949530E-03 ,   3.6273374957777563E-002 ,   6.51264051E-03 ,  -9.27170273E-03
 -0.949999988     ,  0.500000000     ,  0.119999997     ,  -1.9612241039971141      ,   6.74840776E-05 ,   1.3938624999999578E-002 ,   9.30397597E-04 ,  -1.29438909E-02 ,   3.4783624985371714E-002 ,   5.74141089E-03 ,   1.01302946E-02
 -0.949999988     ,  0.500000000     ,  0.125000000     ,  -1.9607031417794112      ,   5.96201862E-05 ,   1.4213499999999581E-002 ,   9.19353857E-04 ,   1.93261839E-02 ,   3.3410499958996663E-002 ,   5.26163541E-03 ,  -4.23015915E-02
 -0.949999988     ,  0.500000000     ,  0.129999995     ,  -1.9602426357748151      ,   5.58280481E-05 ,   1.4122374999999627E-002 ,   8.71489872E-04 ,  -6.35256805E-03 ,   3.2848124955315146E-002 ,   4.84304968E-03 ,   9.25787317E-04
 -0.949999988     ,  0.500000000     ,  0.134999990     ,  -1.9598198360044692      ,   4.97903857E-05 ,   1.4441624999999510E-002 ,   8.78997263E-04 ,   9.29707941E-03 ,   3.2253374991239980E-002 ,   4.37326357E-03 ,   1.37544349E-02
 -0.949999988     ,  0.500000000     ,  0.139999986     ,  -1.9594278112026438      ,   4.68775797E-05 ,   1.4644624999999465E-002 ,   8.84070119E-04 ,   2.00988958E-03 ,   3.1348624984663911E-002 ,   3.97495879E-03 ,  -1.67180924E-03
 -0.949999988     ,  0.500000000     ,  0.144999996     ,  -1.9590693488714555      ,   4.37141425E-05 ,   1.4559374999999512E-002 ,   8.28789314E-04 ,   9.91632231E-03 ,   3.1134874968463556E-002 ,   3.80970305E-03 ,   5.46630006E-03
 -0.949999988     ,  0.500000000     ,  0.149999991     ,  -1.9587425365339481      ,   4.02532860E-05 ,   1.5002499999999466E-002 ,   8.40931258E-04 ,   1.06558772E-02 ,   3.0226499966415576E-002 ,   3.53438524E-03 ,  -1.91240963E-02
 -0.949999988     ,  0.500000000     ,  0.154999986     ,  -1.9584362554273125      ,   3.62544561E-05 ,   1.5090499999999443E-002 ,   8.50142795E-04 ,  -4.16853419E-03 ,   2.9358749986742622E-002 ,   3.25027667E-03 ,  -3.25835682E-02
 -0.949999988     ,  0.500000000     ,  0.159999996     ,  -1.9581490118109348      ,   3.43553584E-05 ,   1.5105499999999494E-002 ,   8.32467573E-04 ,  -1.48542160E-02 ,   2.8817999978619627E-002 ,   3.05395341E-03 ,  -2.57901195E-02
 -0.949999988     ,  0.500000000     ,  0.164999992     ,  -1.9578807744324989      ,   3.29822760E-05 ,   1.5041749999999479E-002 ,   7.80934584E-04 ,   5.75209549E-03 ,   2.8763499996485187E-002 ,   2.83366395E-03 ,   5.48779871E-03
 -0.949999988     ,  0.500000000     ,  0.169999987     ,  -1.9576423807836631      ,   2.96461076E-05 ,   1.5371124999999418E-002 ,   8.02267983E-04 ,  -6.89952169E-03 ,   2.8664374975697137E-002 ,   2.74157012E-03 ,  -6.50212634E-03
 -0.949999988     ,  0.500000000     ,  0.174999997     ,  -1.9573858433973492      ,   2.85956721E-05 ,   1.5549874999999474E-002 ,   7.84310629E-04 ,  -2.05025007E-03 ,   2.8297874976345339E-002 ,   2.55207205E-03 ,   2.43574325E-02
 -0.949999988     ,  0.500000000     ,  0.179999992     ,  -1.9571767059753671      ,   2.70415512E-05 ,   1.5445249999999442E-002 ,   7.63462915E-04 ,  -4.50088643E-02 ,   2.8157749970210717E-002 ,   2.47240742E-03 ,   2.36482136E-02
 -0.949999988     ,  0.500000000     ,  0.184999987     ,  -1.9569801123141002      ,   2.54488223E-05 ,   1.5505124999999472E-002 ,   7.43076147E-04 ,   1.51563725E-02 ,   2.7179624977638015E-002 ,   2.31343438E-03 ,  -5.18963381E-04
 -0.949999988     ,  0.500000000     ,  0.189999998     ,  -1.9567811248869116      ,   2.36318829E-05 ,   1.5529124999999462E-002 ,   7.39879266E-04 ,  -1.35674793E-02 ,   2.7378124974784441E-002 ,   2.21625157E-03 ,   2.18058787E-02
 -0.949999988     ,  0.500000000     ,  0.194999993     ,  -1.9565915624809125      ,   2.20353177E-05 ,   1.5816624999999553E-002 ,   7.24984799E-04 ,  -3.37242709E-05 ,   2.7134124999120830E-002 ,   2.15623737E-03 ,  -9.35223885E-03
 -0.949999988     ,  0.500000000     ,  0.199999988     ,  -1.9564239062893269      ,   2.10319686E-05 ,   1.5913749999999480E-002 ,   7.12209730E-04 ,   9.10497271E-03 ,   2.6688499984052032E-002 ,   2.02651694E-03 ,   1.52275991E-03
