Temperatura MagneticField Magnetization Magnetization2
0.5 0.002475 0.004932656 3.969442e-05
0.5 0.00495 0.009895229 0.0001131411
0.5 0.007425 0.01489209 0.0002370182
0.5 0.0099 0.01980844 0.0004075123
0.5 0.012375 0.02474649 0.000627805
0.5 0.01485 0.02970186 0.0008974537
0.5 0.017325 0.03465841 0.00121644
0.5 0.0198 0.03957566 0.001581524
0.5 0.022275 0.04451272 0.001996601
0.5 0.02475 0.04945817 0.002461437
0.5 0.027225 0.05438852 0.00297342
0.5 0.0297 0.0593312 0.003535405
0.5 0.032175 0.06427462 0.004146586
0.5 0.03465 0.06921846 0.004806455
0.5 0.037125 0.07410832 0.005507264
0.5 0.0396 0.07903253 0.006261288
0.5 0.042075 0.08395809 0.007064241
0.5 0.04455 0.0888608 0.007911374
0.5 0.047025 0.09377317 0.008808662
0.5 0.0495 0.09868503 0.009753825
0.5 0.051975 0.1035697 0.01074179
0.5 0.05445 0.1084746 0.01178171
0.5 0.056925 0.113367 0.0128671
0.5 0.0594 0.1182474 0.01399759
0.5 0.061875 0.1231229 0.01517444
0.5 0.06435 0.1279928 0.0163972
0.5 0.066825 0.1328611 0.01766706
0.5 0.0693 0.1377184 0.01898141
0.5 0.071775 0.1425679 0.02034073
0.5 0.07425 0.1474233 0.02174855
0.5 0.076725 0.1522715 0.02320143
0.5 0.0792 0.1570718 0.02468652
0.5 0.081675 0.1619238 0.02623418
0.5 0.08415 0.1667218 0.02781092
0.5 0.086625 0.1715305 0.02943756
0.5 0.0891 0.1763463 0.0311128
0.5 0.091575 0.1811508 0.03283037
0.5 0.09405 0.1859251 0.03458278
0.5 0.096525 0.1906532 0.03636339
0.5 0.099 0.1954329 0.03820878
0.5 0.102475 0.2021403 0.04087537
0.5 0.10495 0.206888 0.04281729
0.5 0.107425 0.2116034 0.04479053
0.5 0.1099 0.2163231 0.04681026
0.5 0.112375 0.2210292 0.04886825
0.5 0.11485 0.2257515 0.05097818
0.5 0.117325 0.2304238 0.05310954
0.5 0.1198 0.2351121 0.055292
0.5 0.122275 0.2397815 0.05750958
0.5 0.12475 0.2444537 0.05977188
0.5 0.127225 0.2491002 0.06206526
0.5 0.1297 0.2537286 0.06439244
0.5 0.132175 0.2583665 0.06676765
0.5 0.13465 0.2629768 0.06917103
0.5 0.137125 0.2675498 0.07159707
0.5 0.1396 0.2721805 0.07409632
0.5 0.142075 0.2767664 0.0766138
0.5 0.14455 0.2813264 0.07915861
0.5 0.147025 0.2858332 0.08171457
0.5 0.1495 0.2903971 0.08434439
0.5 0.151975 0.2948949 0.08697699
0.5 0.15445 0.2994269 0.08967034
0.5 0.156925 0.3038929 0.09236487
0.5 0.1594 0.3084082 0.09512935
0.5 0.161875 0.3129085 0.09792554
0.5 0.16435 0.3173514 0.1007257
0.5 0.166825 0.321791 0.1035632
0.5 0.1693 0.3262133 0.1064287
0.5 0.171775 0.3306495 0.1093427
0.5 0.17425 0.3350556 0.1122759
0.5 0.176725 0.3394405 0.1152333
0.5 0.1792 0.3437902 0.118205
0.5 0.181675 0.3481773 0.1212408
0.5 0.18415 0.3525136 0.1242793
0.5 0.186625 0.3568303 0.1273411
0.5 0.1891 0.3611561 0.130447
0.5 0.191575 0.3654558 0.1335711
0.5 0.19405 0.3697307 0.1367139
0.5 0.196525 0.3740009 0.1398898
0.5 0.199 0.3782451 0.1430824
0.7 0.002475 0.003524454 2.76497e-05
0.7 0.00495 0.007068392 6.51281e-05
0.7 0.007425 0.0106269 0.0001282042
0.7 0.0099 0.01416351 0.0002158297
0.7 0.012375 0.01766529 0.0003271999
0.7 0.01485 0.0211812 0.0004639274
0.7 0.017325 0.02474486 0.0006275417
0.7 0.0198 0.02827985 0.0008149672
0.7 0.022275 0.03183523 0.001028786
0.7 0.02475 0.03533806 0.00126405
0.7 0.027225 0.03890588 0.001528817
0.7 0.0297 0.04241862 0.001814619
0.7 0.032175 0.04592367 0.002124109
0.7 0.03465 0.04946143 0.002461636
0.7 0.037125 0.05295915 0.002819803
0.7 0.0396 0.05649848 0.00320734
0.7 0.042075 0.06002078 0.003617663
0.7 0.04455 0.06355738 0.004054833
0.7 0.047025 0.0670851 0.004515535
0.7 0.0495 0.07060467 0.005000237
0.7 0.051975 0.07412463 0.005509517
0.7 0.05445 0.07760739 0.006038159
0.7 0.056925 0.08111243 0.006594525
0.7 0.0594 0.08461779 0.007175232
0.7 0.061875 0.08815416 0.007786417
0.7 0.06435 0.09166138 0.00841674
0.7 0.066825 0.09518626 0.00907555
0.7 0.0693 0.09866896 0.00975067
0.7 0.071775 0.1021656 0.01045292
0.7 0.07425 0.1056763 0.01118257
0.7 0.076725 0.1091676 0.01193264
0.7 0.0792 0.1126621 0.01270781
0.7 0.081675 0.1161555 0.01350719
0.7 0.08415 0.1196339 0.01432728
0.7 0.086625 0.1231358 0.01517749
0.7 0.0891 0.1265909 0.01604015
0.7 0.091575 0.1300646 0.01693182
0.7 0.09405 0.1335628 0.01785403
0.7 0.096525 0.1370405 0.01879506
0.7 0.099 0.1404978 0.0197545
0.7 0.102475 0.1453326 0.0211365
0.7 0.10495 0.1488223 0.022163
0.7 0.107425 0.1522837 0.02320527
0.7 0.1099 0.1557153 0.02426199
0.7 0.112375 0.1591475 0.02534277
0.7 0.11485 0.1626222 0.02646083
0.7 0.117325 0.1660757 0.02759591
0.7 0.1198 0.169513 0.02874946
0.7 0.122275 0.1728963 0.02990784
0.7 0.12475 0.1763595 0.0311174
0.7 0.127225 0.1797674 0.03233125
0.7 0.1297 0.1832076 0.03357974
0.7 0.132175 0.1866142 0.03483967
0.7 0.13465 0.1900385 0.03612942
0.7 0.137125 0.1934317 0.03743061
0.7 0.1396 0.1968201 0.03875285
0.7 0.142075 0.2002097 0.04009862
0.7 0.14455 0.2036041 0.04146934
0.7 0.147025 0.2069841 0.04285685
0.7 0.1495 0.2103987 0.04428215
