Temperature Magnetization Magnetization2
0.5	0.00412485481367	-0.00135561179583
0.7	0.00154445390191	-0.000364838238604
0.6	0.00243424234992	-0.000672125936063
0.1	0.00872476552632	-0.003831634965
0.3	0.00796730494687	-0.00320070125719
0.4	0.00779620761565	-0.00312300142955
0.03	0.0402455533333	-0.0282073714
1.0	0.000539883268365	-7.87503707961e-05
0.9	0.000732955791318	-0.000127335864332
0.04	0.0188472306667	-0.0110744233
0.8	0.00104732220621	-0.000208957094715
0.2	0.00804425442308	-0.00331046395023
0.02	0.105009413333	-0.0835651333333
