 Tiempo,  AverEnergy,  AverEnergy^2,  C_v
           1 , -0.12299804687500000      ,   1.5186691284179687E-002 ,   7.1816979952074543E-005
           2 , -0.16606445312500001      ,   2.7682530879974365E-002 ,   1.2978802057488886E-004
           3 , -0.19028320312499999      ,   3.6278545856475830E-002 ,   8.7467247684572730E-005
           4 , -0.20605468750000000      ,   4.2515385150909427E-002 ,   7.0186314478352208E-005
           5 , -0.22175292968749999      ,   4.9232918024063113E-002 ,   7.2291609568761884E-005
           6 , -0.22910156249999999      ,   5.2551150321960449E-002 ,   7.8548626050296572E-005
           7 , -0.23486328125000000      ,   5.5257630348205564E-002 ,   1.1959194620487435E-004
           8 , -0.23620605468750000      ,   5.5936580896377562E-002 ,   1.7688967504589755E-004
           9 , -0.24133300781250000      ,   5.8295232057571408E-002 ,   6.6186916080465018E-005
          10 , -0.24746093750000001      ,   6.1255466938018796E-002 ,   2.2902902619241403E-005
          11 , -0.25261230468750001      ,   6.3931602239608767E-002 ,   1.4645156734949876E-004
          12 , -0.26047363281250002      ,   6.7938321828842158E-002 ,   1.1334376004177198E-004
          13 , -0.26159667968750000      ,   6.8494874238967898E-002 ,   7.6606691851214371E-005
          14 , -0.26826171874999999      ,   7.2047114372253418E-002 ,   1.0217855822191224E-004
          15 , -0.27036132812500002      ,   7.3169624805450445E-002 ,   9.1823538119786407E-005
          16 , -0.26970214843750001      ,   7.2821682691574102E-002 ,   1.0177015599360642E-004
          17 , -0.27253417968749999      ,   7.4380475282669070E-002 ,   1.3036567057348990E-004
          18 , -0.27333984374999998      ,   7.4918138980865481E-002 ,   2.5119606894096879E-004
          19 , -0.27404785156250000      ,   7.5374299287796015E-002 ,   3.3589427593162948E-004
          20 , -0.27133789062500002      ,   7.3852288722991946E-002 ,   2.8152821281593145E-004
          21 , -0.27563476562500000      ,   7.6165628433227536E-002 ,   2.3593139178074919E-004
          22 , -0.27937011718749999      ,   7.8137582540512091E-002 ,   1.1101255597105152E-004
          23 , -0.28095703124999999      ,   7.9015827178955084E-002 ,   9.7498489443538183E-005
          24 , -0.28264160156250001      ,   7.9954117536544800E-002 ,   8.3756306356048171E-005
          25 , -0.28405761718750000      ,   8.0818170309066767E-002 ,   1.5980300884556466E-004
          26 , -0.28234863281250000      ,   7.9817050695419306E-002 ,   1.1888920002824247E-004
          27 , -0.28444824218749998      ,   8.0989593267440790E-002 ,   9.7272580463193136E-005
          28 , -0.28645019531249999      ,   8.2143622636795047E-002 ,   1.1099783877363865E-004
          29 , -0.28530273437499998      ,   8.1517481803894037E-002 ,   1.4794021186817356E-004
          30 , -0.28647460937500002      ,   8.2182729244232172E-002 ,   1.4200918130936234E-004
          31 , -0.28442382812500000      ,   8.1041204929351809E-002 ,   1.7813695752693436E-004
          32 , -0.28422851562500001      ,   8.0969297885894770E-002 ,   2.2648000759998641E-004
          33 , -0.28752441406250001      ,   8.2788282632827753E-002 ,   1.4567155588642784E-004
          34 , -0.29074707031250002      ,   8.4772938489913935E-002 ,   2.9516001692276493E-004
          35 , -0.29069824218750001      ,   8.4668117761611941E-002 ,   2.0080217740789527E-004
          36 , -0.28791503906249999      ,   8.3062738180160522E-002 ,   2.0699811752017251E-004
          37 , -0.29531249999999998      ,   8.7347960472106939E-002 ,   1.7097262582470480E-004
          38 , -0.29218749999999999      ,   8.5565328598022461E-002 ,   2.3678204579141561E-004
          39 , -0.28974609374999999      ,   8.4078669548034668E-002 ,   1.5539594407926028E-004
          40 , -0.29291992187499999      ,   8.5944557189941401E-002 ,   1.7589700008017716E-004
          41 , -0.29013671875000002      ,   8.4383463859558111E-002 ,   2.5203494919365693E-004
          42 , -0.28830566406250002      ,   8.3290451765060419E-002 ,   2.1024178783069690E-004
          43 , -0.29504394531250000      ,   8.7235397100448614E-002 ,   2.2773759211923281E-004
          44 , -0.28813476562500001      ,   8.3215177059173584E-002 ,   2.3893075661419243E-004
          45 , -0.28903808593750002      ,   8.3735638856887812E-002 ,   2.3780709859143919E-004
          46 , -0.28950195312499999      ,   8.3976638317108152E-002 ,   2.0402156434272867E-004
          47 , -0.29387207031250001      ,   8.6465245485305792E-002 ,   1.2895281962151112E-004
          48 , -0.29492187500000000      ,   8.7017059326171875E-002 ,   4.7095031732169446E-005
          49 , -0.29479980468750000      ,   8.7037616968154902E-002 ,   1.6134831457427647E-004
          50 , -0.29333496093750000      ,   8.6218553781509402E-002 ,   2.1377097177115788E-004
          51 , -0.29318847656250002      ,   8.6096733808517456E-002 ,   1.6944571659271198E-004
          52 , -0.28835449218749998      ,   8.3233314752578738E-002 ,   1.0494024031710069E-004
          53 , -0.28986816406249999      ,   8.4156554937362668E-002 ,   1.6420050743357382E-004
          54 , -0.28894042968750000      ,   8.3547443151473999E-002 ,   7.5149689306996947E-005
          55 , -0.29140624999999998      ,   8.4932518005371091E-002 ,   1.8414157407294701E-005
          56 , -0.29423828125000001      ,   8.6694037914276129E-002 ,   1.4552070461292443E-004
          57 , -0.29399414062500001      ,   8.6573350429534915E-002 ,   1.7382187524446474E-004
          58 , -0.29541015625000000      ,   8.7356424331665045E-002 ,   1.1020237425328335E-004
          59 , -0.29335937499999998      ,   8.6222004890441892E-002 ,   2.0034815186762493E-004
          60 , -0.29348144531249998      ,   8.6291068792343134E-002 ,   1.9717291652506444E-004
          61 , -0.29667968750000001      ,   8.8139963150024411E-002 ,   1.4953849950756487E-004
          62 , -0.29299316406249998      ,   8.5973209142684942E-002 ,   1.5829008095119887E-004
          63 , -0.29536132812499999      ,   8.7473678588867190E-002 ,   2.9057340234802005E-004
          64 , -0.29787597656249998      ,   8.9144366979599002E-002 ,   5.1144395015280104E-004
          65 , -0.29406738281250000      ,   8.6848109960556030E-002 ,   4.5985722976915611E-004
          66 , -0.29123535156250002      ,   8.5192507505416876E-002 ,   4.6231794517715785E-004
          67 , -0.29436035156250001      ,   8.6852198839187628E-002 ,   2.5207689320629815E-004
          68 , -0.29467773437500000      ,   8.7039208412170416E-002 ,   2.5214974333352534E-004
          69 , -0.29577636718750000      ,   8.7722975015640262E-002 ,   2.9545141743163924E-004
          70 , -0.29538574218750002      ,   8.7447649240493780E-002 ,   2.4063280049537963E-004
          71 , -0.29572753906249999      ,   8.7743717432022098E-002 ,   3.5671616683622933E-004
          72 , -0.29907226562500000      ,   8.9650428295135504E-002 ,   2.5457808090721532E-004
          73 , -0.29873046874999998      ,   8.9393520355224604E-002 ,   1.8966346654339242E-004
          74 , -0.30002441406250002      ,   9.0189534425735476E-002 ,   2.1590790883599067E-004
          75 , -0.29804687499999999      ,   8.8955521583557129E-002 ,   1.5257024217533698E-004
          76 , -0.30134277343749999      ,   9.0979903936386108E-002 ,   2.1288499648669369E-004
          77 , -0.30065917968750000      ,   9.0572184324264532E-002 ,   2.1758272590198378E-004
          78 , -0.29704589843750001      ,   8.8349705934524542E-002 ,   1.4004958647340698E-004
          79 , -0.30217285156250001      ,   9.1496676206588745E-002 ,   2.3240000026070800E-004
          80 , -0.29846191406250000      ,   8.9317911863327021E-002 ,   2.9431819323057364E-004
          81 , -0.30070800781250001      ,   9.0646857023239130E-002 ,   2.7351984984184475E-004
          82 , -0.29848632812499998      ,   8.9284670352935788E-002 ,   2.3528677853393157E-004
          83 , -0.30371093750000000      ,   9.2419946193695063E-002 ,   2.2174401347142971E-004
