 Tiempo,InterPos2,InterNeg2,InterPN2,InterZero,InterPN,InterNZ
          81 ,                18715 ,                18979 ,                27841 ,                    0 ,                    0 ,                    0
          82 ,                18696 ,                18961 ,                27877 ,                    0 ,                    0 ,                    0
          83 ,                18739 ,                19004 ,                27792 ,                    0 ,                    0 ,                    0
          84 ,                18738 ,                19003 ,                27794 ,                    0 ,                    0 ,                    0
          85 ,                18748 ,                19013 ,                27774 ,                    0 ,                    0 ,                    0
          86 ,                18716 ,                18981 ,                27838 ,                    0 ,                    0 ,                    0
          87 ,                18709 ,                18974 ,                27852 ,                    0 ,                    0 ,                    0
          88 ,                18707 ,                18972 ,                27856 ,                    0 ,                    0 ,                    0
          89 ,                18709 ,                18974 ,                27851 ,                    0 ,                    0 ,                    0
          90 ,                18699 ,                18964 ,                27872 ,                    0 ,                    0 ,                    0
          91 ,                18703 ,                18968 ,                27864 ,                    0 ,                    0 ,                    0
          92 ,                18727 ,                18992 ,                27816 ,                    0 ,                    0 ,                    0
          93 ,                18691 ,                18956 ,                27887 ,                    0 ,                    0 ,                    0
          94 ,                18722 ,                18987 ,                27826 ,                    0 ,                    0 ,                    0
          95 ,                18712 ,                18977 ,                27846 ,                    0 ,                    0 ,                    0
          96 ,                18740 ,                19005 ,                27790 ,                    0 ,                    0 ,                    0
          97 ,                18695 ,                18959 ,                27881 ,                    0 ,                    0 ,                    0
          98 ,                18701 ,                18966 ,                27867 ,                    0 ,                    0 ,                    0
          99 ,                18727 ,                18991 ,                27817 ,                    0 ,                    0 ,                    0
         100 ,                18696 ,                18961 ,                27878 ,                    0 ,                    0 ,                    0
         101 ,                18707 ,                18972 ,                27856 ,                    0 ,                    0 ,                    0
         102 ,                18698 ,                18963 ,                27873 ,                    0 ,                    0 ,                    0
         103 ,                18670 ,                18935 ,                27929 ,                    0 ,                    0 ,                    0
         104 ,                18684 ,                18949 ,                27902 ,                    0 ,                    0 ,                    0
         105 ,                18679 ,                18944 ,                27912 ,                    0 ,                    0 ,                    0
         106 ,                18657 ,                18922 ,                27956 ,                    0 ,                    0 ,                    0
         107 ,                18715 ,                18979 ,                27841 ,                    0 ,                    0 ,                    0
         108 ,                18685 ,                18950 ,                27900 ,                    0 ,                    0 ,                    0
         109 ,                18651 ,                18916 ,                27968 ,                    0 ,                    0 ,                    0
         110 ,                18664 ,                18929 ,                27942 ,                    0 ,                    0 ,                    0
         111 ,                18707 ,                18972 ,                27856 ,                    0 ,                    0 ,                    0
         112 ,                18725 ,                18990 ,                27820 ,                    0 ,                    0 ,                    0
         113 ,                18716 ,                18981 ,                27838 ,                    0 ,                    0 ,                    0
         114 ,                18694 ,                18959 ,                27881 ,                    0 ,                    0 ,                    0
         115 ,                18710 ,                18974 ,                27851 ,                    0 ,                    0 ,                    0
         116 ,                18668 ,                18933 ,                27934 ,                    0 ,                    0 ,                    0
         117 ,                18665 ,                18930 ,                27939 ,                    0 ,                    0 ,                    0
         118 ,                18671 ,                18936 ,                27928 ,                    0 ,                    0 ,                    0
         119 ,                18703 ,                18968 ,                27863 ,                    0 ,                    0 ,                    0
         120 ,                18710 ,                18975 ,                27850 ,                    0 ,                    0 ,                    0
         121 ,                18688 ,                18953 ,                27894 ,                    0 ,                    0 ,                    0
         122 ,                18726 ,                18991 ,                27818 ,                    0 ,                    0 ,                    0
         123 ,                18694 ,                18958 ,                27883 ,                    0 ,                    0 ,                    0
         124 ,                18683 ,                18948 ,                27904 ,                    0 ,                    0 ,                    0
         125 ,                18681 ,                18946 ,                27908 ,                    0 ,                    0 ,                    0
         126 ,                18676 ,                18941 ,                27918 ,                    0 ,                    0 ,                    0
         127 ,                18671 ,                18935 ,                27929 ,                    0 ,                    0 ,                    0
         128 ,                18632 ,                18897 ,                28005 ,                    0 ,                    0 ,                    0
         129 ,                18687 ,                18952 ,                27896 ,                    0 ,                    0 ,                    0
         130 ,                18694 ,                18959 ,                27882 ,                    0 ,                    0 ,                    0
         131 ,                18695 ,                18960 ,                27879 ,                    0 ,                    0 ,                    0
         132 ,                18704 ,                18968 ,                27863 ,                    0 ,                    0 ,                    0
         133 ,                18712 ,                18977 ,                27846 ,                    0 ,                    0 ,                    0
         134 ,                18697 ,                18962 ,                27876 ,                    0 ,                    0 ,                    0
         135 ,                18711 ,                18976 ,                27848 ,                    0 ,                    0 ,                    0
         136 ,                18721 ,                18985 ,                27829 ,                    0 ,                    0 ,                    0
         137 ,                18718 ,                18983 ,                27834 ,                    0 ,                    0 ,                    0
         138 ,                18707 ,                18972 ,                27855 ,                    0 ,                    0 ,                    0
         139 ,                18719 ,                18983 ,                27833 ,                    0 ,                    0 ,                    0
         140 ,                18750 ,                19015 ,                27770 ,                    0 ,                    0 ,                    0
         141 ,                18734 ,                18999 ,                27801 ,                    0 ,                    0 ,                    0
         142 ,                18768 ,                19033 ,                27734 ,                    0 ,                    0 ,                    0
         143 ,                18728 ,                18993 ,                27814 ,                    0 ,                    0 ,                    0
         144 ,                18758 ,                19023 ,                27754 ,                    0 ,                    0 ,                    0
         145 ,                18748 ,                19013 ,                27774 ,                    0 ,                    0 ,                    0
         146 ,                18719 ,                18984 ,                27832 ,                    0 ,                    0 ,                    0
         147 ,                18724 ,                18989 ,                27822 ,                    0 ,                    0 ,                    0
         148 ,                18738 ,                19002 ,                27795 ,                    0 ,                    0 ,                    0
         149 ,                18760 ,                19025 ,                27750 ,                    0 ,                    0 ,                    0
         150 ,                18765 ,                19030 ,                27739 ,                    0 ,                    0 ,                    0
         151 ,                18774 ,                19039 ,                27721 ,                    0 ,                    0 ,                    0
         152 ,                18744 ,                19009 ,                27782 ,                    0 ,                    0 ,                    0
         153 ,                18754 ,                19019 ,                27761 ,                    0 ,                    0 ,                    0
         154 ,                18761 ,                19026 ,                27748 ,                    0 ,                    0 ,                    0
         155 ,                18731 ,                18995 ,                27809 ,                    0 ,                    0 ,                    0
         156 ,                18738 ,                19003 ,                27793 ,                    0 ,                    0 ,                    0
         157 ,                18757 ,                19022 ,                27756 ,                    0 ,                    0 ,                    0
         158 ,                18777 ,                19042 ,                27716 ,                    0 ,                    0 ,                    0
         159 ,                18753 ,                19018 ,                27763 ,                    0 ,                    0 ,                    0
         160 ,                18775 ,                19039 ,                27721 ,                    0 ,                    0 ,                    0
         161 ,                18769 ,                19034 ,                27731 ,                    0 ,                    0 ,                    0
         162 ,                18760 ,                19024 ,                27751 ,                    0 ,                    0 ,                    0
         163 ,                18752 ,                19017 ,                27766 ,                    0 ,                    0 ,                    0
         164 ,                18761 ,                19026 ,                27747 ,                    0 ,                    0 ,                    0
         165 ,                18725 ,                18990 ,                27820 ,                    0 ,                    0 ,                    0
