Temperatura MagneticField Magnetization Magnetization2
1 0.196525 0.1940685 0.03772131
1 0.199 0.1963849 0.03862536
0.9 0.002475 0.002752119 6.913564e-05
0.9 0.00495 0.00552144 9.134656e-05
0.9 0.007425 0.008239602 0.0001290331
0.9 0.0099 0.01097374 0.0001818149
0.9 0.012375 0.01373517 0.0002491472
0.9 0.01485 0.01650791 0.0003332138
0.9 0.017325 0.01930041 0.000433262
0.9 0.0198 0.02197729 0.0005445198
0.9 0.022275 0.02475699 0.0006737565
0.9 0.02475 0.02748011 0.0008163286
0.9 0.027225 0.03022371 0.0009748062
0.9 0.0297 0.03297655 0.001148551
0.9 0.032175 0.03574123 0.001338632
0.9 0.03465 0.03849793 0.001542722
0.9 0.037125 0.04123613 0.001761091
0.9 0.0396 0.04401182 0.001997308
0.9 0.042075 0.0467321 0.002245547
0.9 0.04455 0.04946581 0.002507286
0.9 0.047025 0.0521908 0.002785084
0.9 0.0495 0.05496478 0.003081753
0.9 0.051975 0.05778541 0.00339949
0.9 0.05445 0.06042654 0.003711903
0.9 0.056925 0.06317114 0.004051629
0.9 0.0594 0.06590894 0.004405259
0.9 0.061875 0.06864849 0.004773673
0.9 0.06435 0.07140776 0.005159704
0.9 0.066825 0.07408747 0.005549367
0.9 0.0693 0.07686503 0.005968967
0.9 0.071775 0.07961818 0.006399903
0.9 0.07425 0.0822829 0.006831024
0.9 0.076725 0.0850293 0.007291063
0.9 0.0792 0.08781482 0.007772204
0.9 0.081675 0.09051833 0.008253637
0.9 0.08415 0.09317488 0.008741929
0.9 0.086625 0.09592878 0.00926307
0.9 0.0891 0.09866286 0.009794676
0.9 0.091575 0.1014238 0.01034687
0.9 0.09405 0.1041539 0.01090862
0.9 0.096525 0.1068269 0.01147238
0.9 0.099 0.1095781 0.0120674
0.9 0.102475 0.1134039 0.01292079
0.9 0.10495 0.1160783 0.01353459
0.9 0.107425 0.1188144 0.01417741
0.9 0.1099 0.1215074 0.01482459
0.9 0.112375 0.1242136 0.01548933
0.9 0.11485 0.1269084 0.01616573
0.9 0.117325 0.1295892 0.01685329
0.9 0.1198 0.1323122 0.01756597
0.9 0.122275 0.1350489 0.01829844
0.9 0.12475 0.1377536 0.01903599
0.9 0.127225 0.1404465 0.01978496
0.9 0.1297 0.1431415 0.02054937
0.9 0.132175 0.1458365 0.02132792
0.9 0.13465 0.1485302 0.02212087
