 Tiempo AverEnergy AverEnergy^2 C_v
           1 -0.18087768554687500        3.2726503908634186E-002   1.2057753851935082E-005
           2 -0.18787384033203125        3.5311969928443432E-002   1.9000059959341231E-005
           3 -0.18432617187500000        3.3984195441007614E-002   9.9479056285822764E-006
           4 -0.18782043457031250        3.5297233611345291E-002   2.5577741751853234E-005
           5 -0.18032836914062500        3.2523360103368759E-002   6.2214652515324431E-006
           6 -0.18283843994140625        3.3432303927838802E-002   2.9738368197210208E-006
           7 -0.17813873291015625        3.1771958805620670E-002   4.7593389955226384E-005
           8 -0.19013214111328125        3.6156245507299900E-002   7.4252141476285893E-006
           9 -0.18752288818359375        3.5206739790737629E-002   5.1736051071706035E-005
          10 -0.18509674072265625        3.4295716322958469E-002   4.3102345181157686E-005
          11 -0.18383789062500000        3.3808795735239983E-002   1.5340378744399530E-005
          12 -0.18017578125000000        3.2489685341715813E-002   3.2559499721473983E-005
          13 -0.18038177490234375        3.2587901689112186E-002   6.2119723717536657E-005
          14 -0.18640136718750000        3.4782033413648605E-002   4.5140403950316710E-005
          15 -0.18384552001953125        3.3802214078605175E-002   3.7516636987935947E-006
          16 -0.18108367919921875        3.2835111953318119E-002   5.4090227767790433E-005
          17 -0.18305969238281250        3.3537201583385468E-002   3.2531617531056378E-005
          18 -0.18829345703125000        3.5485001280903816E-002   3.7747311810720774E-005
          19 -0.18355560302734375        3.3734972588717937E-002   5.2238505389747003E-005
          20 -0.18682098388671875        3.4927773289382458E-002   3.1720087695009946E-005
          21 -0.18302917480468750        3.3516356721520424E-002   2.0589991564984311E-005
          22 -0.18294525146484375        3.3498507924377918E-002   3.6472707657532466E-005
          23 -0.18273162841796875        3.3405278809368610E-002   1.7815785479748103E-005
          24 -0.18637084960937500        3.4741077572107315E-002   8.6222080800668621E-006
          25 -0.18291473388671875        3.3466498367488384E-002   1.0738883128393051E-005
          26 -0.17292022705078125        2.9975582845509052E-002   9.1577689061629608E-005
          27 -0.18593597412109375        3.4582211636006832E-002   1.2376746231480829E-005
          28 -0.18254089355468750        3.3331653103232384E-002   1.2932449784314182E-005
          29 -0.17992401123046875        3.2448035664856434E-002   9.3068955081078431E-005
          30 -0.18708801269531250        3.5028429701924324E-002   3.2722481185049057E-005
          31 -0.18132019042968750        3.2882183790206909E-002   6.3855964961556655E-006
          32 -0.18389129638671875        3.3847426064312458E-002   3.8786642016931661E-005
          33 -0.18499755859375000        3.4236425533890724E-002   1.5220801515392068E-005
          34 -0.18555450439453125        3.4439136274158955E-002   1.0694041667515253E-005
          35 -0.18859100341796875        3.5569266416132450E-002   3.3331433972674795E-006
          36 -0.18608093261718750        3.4658793359994888E-002   4.0345529534274727E-005
          37 -0.17498016357421875        3.0657812021672726E-002   4.9079481959958537E-005
          38 -0.18476867675781250        3.4144880250096321E-002   6.6868391307706165E-006
          39 -0.18281555175781250        3.3437216654419899E-002   1.9371223653946723E-005
          40 -0.18334960937500000        3.3627768978476524E-002   1.3197186870650413E-005
          41 -0.18148040771484375        3.2956634648144245E-002   2.6538599401527974E-005
          42 -0.18281555175781250        3.3426746726036072E-002   6.4453851106593962E-006
          43 -0.18618011474609375        3.4676869399845600E-002   1.7079350718408881E-005
          44 -0.18567657470703125        3.4489690326154232E-002   1.7160410282303362E-005
          45 -0.18251800537109375        3.3319915644824505E-002   8.7572354919088213E-006
          46 -0.18986511230468750        3.6091851070523262E-002   5.3197782090480539E-005
          47 -0.18421173095703125        3.3936806954443455E-002   3.5125092407786718E-006
          48 -0.18318939208984375        3.3562871627509594E-002   5.5780908937777540E-006
          49 -0.18210601806640625        3.3226807601749897E-002   7.9266408488577744E-005
          50 -0.18168640136718750        3.3013517037034035E-002   4.4056735312436590E-006
          51 -0.17905426025390625        3.2073889859020710E-002   1.6619438299149414E-005
          52 -0.18125152587890625        3.2905445434153080E-002   6.5839265408297598E-005
          53 -0.17317962646484375        3.0036364682018757E-002   5.5779831018044901E-005
          54 -0.18196868896484375        3.3127638511359692E-002   1.8561418489472514E-005
          55 -0.17903137207031250        3.2067650929093361E-002   1.9035487587887312E-005
          56 -0.18671417236328125        3.4879907034337521E-002   2.1882561047049942E-005
          57 -0.18435668945312500        3.3995389938354492E-002   9.8777689846452077E-006
          58 -0.18209838867187500        3.3164026215672493E-002   5.1889618702949392E-006
          59 -0.18157196044921875        3.2974139787256718E-002   7.1147732646284489E-006
          60 -0.18416595458984375        3.3930485136806965E-002   1.6526306034249372E-005
          61 -0.18057250976562500        3.2622376456856728E-002   1.9685401325353347E-005
          62 -0.18907165527343750        3.5754080861806870E-002   7.3951042564301961E-006
          63 -0.18253326416015625        3.3321761526167393E-002   4.1592610803622976E-006
          64 -0.18250274658203125        3.3318511210381985E-002   1.3899631229753739E-005
          65 -0.18568420410156250        3.4524122253060341E-002   5.6171115880992994E-005
          66 -0.18548583984375000        3.4448929131031036E-002   5.4237471603268972E-005
          67 -0.18019104003906250        3.2488076016306877E-002   2.3784083316741311E-005
          68 -0.18635559082031250        3.4753920510411263E-002   3.1499114149818874E-005
          69 -0.18550872802734375        3.4416320733726025E-002   3.4969871966286648E-006
          70 -0.18556213378906250        3.4441638737916946E-002   1.0287953373572245E-005
