Size,Alfa,Temperatura,Susceptibility,SusceptMCError,AutoCorrelationTime,StdDevBlocking,EffTau,Energy,HeatCapacity,Mabs,SusceptAbs,Cumulant,aMabs,aSusceptAbs,aCumu
512,0.5,1.645,100291,292.965,1.73662,8.97175,0.000468913,-1.66683,1.36581,0.793291,5.5027,0.666594,0.000558567,1.08899e-07,-0.00442732
512,0.5,1.725,1049.31,6.44707,8.67611,29.0612,10.1595,-1.507,2.04378,0.0666644,373.949,0.0422235,0.000621436,1.2742e-07,-0.0209612
512,0.5,1.72,1594.94,9.65984,6.12117,37.3068,7.45774,-1.51644,1.80637,0.082323,562.051,0.0607144,0.00063829,1.32076e-07,0.0293458
512,0.5,1.715,2820.47,16.6868,4.39801,60.4408,6.55968,-1.52661,2.14361,0.109713,980.568,0.0932819,0.000655456,1.42353e-07,0.0151062
512,0.5,1.64,102603,298.264,1.6975,8.99391,0.000454638,-1.67355,1.32614,0.801165,4.75498,0.666605,0.00055457,1.07155e-07,-0.00523446
512,0.5,1.71,6319.14,33.8709,4.33241,124.273,6.7308,-1.53777,2.39642,0.168561,1963.45,0.230985,0.000643563,1.3667e-07,0.0189042
512,0.5,1.705,19461.4,80.602,5.80895,249.108,4.77589,-1.5514,3.06017,0.321626,3556.98,0.491965,0.000623816,1.30602e-07,-0.000255213
512,0.5,1.635,104794,303.146,1.58575,9.06152,0.000446752,-1.68009,1.28223,0.808441,4.13235,0.666614,0.000549456,1.05757e-07,-0.000484187
512,0.5,1.7,44020.9,142.991,5.14298,182.655,0.81586,-1.56746,2.94331,0.526464,1281.44,0.641265,0.000620675,1.2891e-07,0.002596
512,1,1.4,184034,180.316,0.297435,0.163854,4.12873e-07,-1.96809,0.143711,0.991387,0.0167773,0.666667,,,
512,0.5,1.63,106878,307.658,1.5625,8.42837,0.00037525,-1.68642,1.25297,0.815193,3.62313,0.666622,0.000546648,1.04153e-07,0.00376936
512,0.5,1.625,108883,311.883,1.49884,7.49368,0.000288653,-1.6926,1.22416,0.821544,3.23471,0.666627,0.000539507,1.02444e-07,-0.00132481
512,0.5,1.62,110801,315.8,1.45264,7.29697,0.000266951,-1.6986,1.18263,0.827473,2.84066,0.666633,0.000537265,1.01453e-07,-0.0016124
512,0.5,1.615,112646,319.452,1.41507,6.0718,0.000180631,-1.70443,1.15384,0.833046,2.56415,0.666636,0.000532916,1.00421e-07,-0.00492198
512,0.5,1.61,114439,322.904,1.32541,5.59219,0.000149964,-1.71016,1.1242,0.838351,2.30643,0.66664,0.000530718,1.00062e-07,-0.00558932
512,0.5,1.605,116172,326.131,1.37729,6.07288,0.000173371,-1.71572,1.09415,0.843361,2.08057,0.666643,0.000526209,9.77694e-08,0.00298108
512,0.5,1.6,117836,329.115,1.28937,5.36116,0.000132676,-1.72111,1.07397,0.848058,1.91692,0.666645,0.000520971,9.67468e-08,0.00226988
