Size,Alfa,Temperatura,Susceptibility,SusceptMCError,AutoCorrelationTime,StdDevBlocking,EffTau,Energy,HeatCapacity,Mabs,SusceptAbs,Cumulant,aMabs,aSusceptAbs,aCumu
32,0.5,1.765,125.913,0.572903,3.30502,1.02958,1.61483,-1.45928,1.60894,0.413508,26.7099,0.449957,0.0108537,3.83646e-05,0.00692462
32,0.5,1.76,136.237,0.604459,3.27267,1.07641,1.5856,-1.46823,1.66601,0.43289,27.2082,0.468723,0.0107971,3.82027e-05,-0.0105925
32,0.5,1.755,145.827,0.632565,3.27624,1.12707,1.58732,-1.47676,1.69787,0.450413,27.4555,0.484498,0.010679,3.79042e-05,-0.0189588
32,0.5,1.75,156.252,0.662865,3.42817,1.18078,1.58656,-1.48477,1.77225,0.468792,27.6579,0.499388,0.0106056,3.74449e-05,-0.0215999
32,0.5,1.745,168.464,0.696641,3.38673,1.13088,1.3176,-1.49482,1.80972,0.490054,27.5381,0.516146,0.0104465,3.62599e-05,-0.0101307
32,0.5,1.74,179.473,0.725949,3.39581,1.17848,1.31766,-1.50321,1.84476,0.508523,27.2881,0.529636,0.0104463,3.67132e-05,-0.0193244
32,0.5,1.735,190.853,0.755344,3.36544,1.31111,1.50646,-1.51243,1.87186,0.527239,26.7883,0.542368,0.010325,3.58121e-05,-0.00746705
32,0.5,1.73,203.437,0.786255,3.39972,1.26892,1.3023,-1.52132,1.89372,0.547668,25.9003,0.555902,0.0103128,3.56035e-05,-0.00703068
32,0.5,1.725,217.103,0.818801,3.23563,1.25271,1.17034,-1.53183,1.88707,0.569374,24.6589,0.569299,0.010207,3.51909e-05,-0.0126116
32,0.5,1.72,229.326,0.848583,3.28131,1.17679,0.961574,-1.54111,1.91081,0.587672,23.7177,0.578771,0.010147,3.46628e-05,-0.00494826
32,0.5,1.715,242.905,0.879654,3.15824,1.14452,0.846433,-1.55101,1.88824,0.607695,22.4056,0.589412,0.00990854,3.3544e-05,-0.0218073
32,0.5,1.71,256.057,0.909577,3.18701,1.16624,0.821995,-1.5605,1.90226,0.626528,20.9935,0.598316,0.00991892,3.3427e-05,-0.0184532
32,0.5,1.705,268.434,0.935633,3.05144,1.09588,0.685933,-1.56945,1.85318,0.644037,19.321,0.606726,0.00986521,3.31657e-05,-0.0107355
32,0.5,1.7,281.597,0.964703,2.9802,1.0093,0.547296,-1.57914,1.84037,0.66164,17.9059,0.613925,0.00973517,3.25625e-05,-0.023579
64,0.5,1.65,1534.44,4.55602,1.99639,1.38783,0.0463953,-1.65973,1.4193,0.784511,6.6189,0.661685,0.00451022,7.09071e-06,-0.00717128
64,0.5,1.645,1571.61,4.63562,1.87563,1.14101,0.0302925,-1.66667,1.37863,0.793068,5.52622,0.662478,0.00447432,6.91468e-06,0.000452363
64,0.5,1.64,1607.22,4.71142,1.89467,1.14647,0.0296069,-1.67352,1.33708,0.800994,4.80556,0.663068,0.00443514,6.84037e-06,0.00340627
64,0.5,1.635,1641.11,4.78152,1.6707,1.01777,0.0226536,-1.67994,1.28753,0.808357,4.11537,0.663603,0.00439702,6.79074e-06,-0.000190015
64,0.5,1.63,1673.06,4.84692,1.62801,1.00354,0.0214342,-1.68636,1.25888,0.815068,3.66635,0.663949,0.00435178,6.69056e-06,-0.00231686
64,0.5,1.625,1705.06,4.91073,1.57012,0.816639,0.0138273,-1.69269,1.21559,0.821705,3.14607,0.664349,0.0043164,6.56073e-06,0.00238566
64,0.5,1.62,1734.57,4.96815,1.52917,0.927005,0.0174078,-1.69868,1.18921,0.827588,2.86388,0.664593,0.00428528,6.51828e-06,-0.0041066
64,0.5,1.615,1763.48,5.02298,1.43105,0.783097,0.0121528,-1.70458,1.14817,0.833252,2.55859,0.664829,0.00425274,6.44519e-06,-0.00818296
64,0.5,1.61,1790.34,5.07158,1.45216,0.783211,0.0119245,-1.71012,1.12232,0.838338,2.31414,0.66502,0.00423074,6.42293e-06,-0.0133584
64,0.5,1.605,1816.61,5.11813,1.39075,0.735145,0.0103156,-1.71569,1.09869,0.843209,2.12043,0.665175,0.00420832,6.31605e-06,0.00195139
64,0.5,1.6,1843.43,5.16532,1.34725,0.694526,0.00903965,-1.72116,1.07738,0.848138,1.9232,0.66533,0.00417569,6.22053e-06,0.00324674
64,0.5,1.595,1868.7,5.2075,1.34378,0.687874,0.00872427,-1.72646,1.04784,0.852647,1.72804,0.665472,0.00413916,6.15728e-06,-0.00109767
64,0.5,1.59,1892.7,5.24596,1.27343,0.607014,0.00669448,-1.7315,1.03338,0.85679,1.61019,0.665565,0.00409399,6.02912e-06,-0.00141854
64,0.5,1.585,1917.82,5.28661,1.24448,0.586919,0.00616271,-1.73681,1.00407,0.861137,1.473,0.665671,0.00406809,5.98573e-06,0.00130767
64,0.5,1.58,1940.86,5.32109,1.22436,0.527578,0.00491522,-1.74169,0.987378,0.864951,1.37405,0.665747,0.00404236,5.93813e-06,-0.00558498
64,0.5,1.575,1963.18,5.35283,1.14776,0.492537,0.0042333,-1.74634,0.960193,0.868562,1.26621,0.665826,0.00401413,5.87158e-06,-0.00131149
64,0.5,1.57,1986.86,5.38779,1.16833,0.515653,0.00457998,-1.75142,0.952208,0.872415,1.19014,0.665885,0.00397545,5.80092e-06,-0.00740952
64,0.5,1.565,2007.93,5.41489,1.13631,0.49147,0.00411894,-1.75584,0.923193,0.875655,1.09971,0.665951,0.00394787,5.66488e-06,0.00320331
64,0.5,1.56,2031.02,5.4468,1.09913,0.491827,0.00407673,-1.76066,0.904312,0.879285,1.02408,0.666007,0.00391055,5.64474e-06,-0.00373396
64,0.5,1.555,2051.57,5.47135,1.12411,0.520634,0.00452737,-1.76498,0.886449,0.882322,0.960575,0.666053,0.00387599,5.54649e-06,-0.000943085
64,0.5,1.55,2072.87,5.49722,1.11109,0.43016,0.00306157,-1.76946,0.869028,0.885477,0.900338,0.666097,0.00386754,5.55021e-06,-0.00323037
64,0.5,1.545,2093.96,5.52192,1.04049,0.408792,0.00274028,-1.77387,0.851838,0.888547,0.847534,0.666135,0.00384545,5.51673e-06,-0.00584496
64,0.5,1.54,2114.09,5.54346,1.0863,0.393344,0.00251741,-1.77803,0.839368,0.891375,0.798707,0.66617,0.00378374,5.36114e-06,-0.00483779
64,0.5,1.535,2133.99,5.56377,1.02094,0.389448,0.00244981,-1.78213,0.823888,0.894116,0.753511,0.666202,0.00376552,5.335e-06,-0.00490606
64,0.5,1.53,2154.19,5.58416,1.00142,0.422546,0.00286287,-1.78626,0.80514,0.896883,0.708524,0.666234,0.0037328,5.23933e-06,-0.00662003
64,0.5,1.525,2173.48,5.60164,0.973457,0.374739,0.00223767,-1.79015,0.790192,0.899428,0.669784,0.666261,0.00371939,5.19226e-06,0.00129522
64,0.5,1.52,2193.13,5.6194,0.963892,0.345213,0.00188697,-1.7942,0.781429,0.902009,0.636027,0.666284,0.00369205,5.11781e-06,0.00644574
64,0.5,1.515,2212.1,5.63472,0.96202,0.354022,0.00197372,-1.79802,0.757675,0.90442,0.595756,0.666311,0.00364461,5.02249e-06,0.00303242
64,0.5,1.51,2231.06,5.64949,0.937409,0.331168,0.0017181,-1.8018,0.755304,0.906793,0.571568,0.666329,0.00364076,5.07463e-06,-0.00450078
64,0.5,1.505,2250.1,5.66375,0.903761,0.311264,0.00151015,-1.80557,0.737515,0.909153,0.538087,0.666351,0.00359657,4.94793e-06,-0.00139094
64,0.5,1.8,86.4175,0.530683,3.23735,1.25657,2.80333,-1.40341,1.1083,0.158173,29.4861,0.121175,0.00576795,1.04652e-05,-0.000981217
64,0.5,1.795,93.8882,0.570815,3.19324,1.32903,2.71051,-1.40808,1.17704,0.164907,31.8337,0.131744,0.00548248,9.71981e-06,-0.0122727
64,0.5,1.79,105.045,0.627646,3.34703,1.49242,2.82698,-1.41456,1.19375,0.17486,35.0795,0.153155,0.00562725,1.03904e-05,-0.0307554
64,0.5,1.785,114.259,0.677695,3.25507,1.70504,3.16496,-1.42024,1.26063,0.182431,37.8898,0.159316,0.00557763,9.86273e-06,0.00982236
64,0.5,1.78,126.52,0.738091,3.17505,1.73982,2.77818,-1.42703,1.25743,0.192645,41.1199,0.178696,0.00559301,9.92093e-06,0.0158911
64,0.5,1.775,140.693,0.808052,3.23186,1.91136,2.79755,-1.43376,1.30563,0.203484,45.1444,0.196215,0.00556154,1.00834e-05,-0.0182889
64,0.5,1.77,157.154,0.885641,3.26432,2.12041,2.86612,-1.43973,1.33662,0.215568,49.6174,0.217786,0.00544081,9.73537e-06,-0.00769161
64,0.5,1.765,177.773,0.975387,3.34045,2.20355,2.55188,-1.44658,1.41148,0.230511,54.4635,0.248768,0.00543824,9.79683e-06,-0.0285043
64,0.5,1.76,202.137,1.08601,3.34063,2.64332,2.96213,-1.45422,1.47372,0.246885,60.2845,0.271155,0.00547992,9.94632e-06,-0.0199282
64,0.5,1.755,231.374,1.20717,3.48751,2.47549,2.10257,-1.46231,1.53563,0.265805,66.4784,0.302574,0.00535674,9.30315e-06,0.0128158
64,0.5,1.75,263.593,1.33459,3.6179,3.10785,2.71141,-1.46942,1.62658,0.285933,72.2325,0.333121,0.00536065,9.29603e-06,0.0124295
64,0.5,1.745,301,1.47152,3.69468,3.54085,2.89502,-1.47781,1.68215,0.308387,77.768,0.367272,0.00529377,9.24741e-06,-0.00239887
64,0.5,1.74,351.545,1.65206,3.80394,4.15897,3.16876,-1.48696,1.82099,0.336932,84.309,0.403606,0.00522418,9.02136e-06,0.00447403
64,0.5,1.735,407.832,1.83966,3.97737,4.35499,2.802,-1.49683,1.94053,0.367108,89.6702,0.438633,0.00525832,9.12251e-06,-0.0108534
64,0.5,1.73,469.674,2.03039,4.06467,4.57849,2.54246,-1.50615,2.03528,0.399145,92.4706,0.472347,0.00516817,8.90662e-06,-0.011486
64,0.5,1.725,542.629,2.24355,4.16098,4.67013,2.16649,-1.51685,2.15035,0.434919,93.4838,0.504981,0.00517771,8.84508e-06,0.00790846
64,0.5,1.72,616.665,2.44326,4.10981,4.78159,1.91502,-1.52686,2.21696,0.469731,91.2172,0.533578,0.00510599,8.81239e-06,-0.0119258
64,0.5,1.715,702.996,2.66844,4.08109,4.71352,1.56007,-1.53863,2.26719,0.508127,86.3431,0.560087,0.00507811,8.67062e-06,-0.0067606
64,0.5,1.71,789.838,2.88023,4.00394,4.4745,1.20671,-1.55003,2.23417,0.545059,78.2129,0.582828,0.00504066,8.47241e-06,0.00250341
64,0.5,1.705,874.468,3.08011,3.84908,4.51576,1.07473,-1.56088,2.24629,0.579079,68.8846,0.60082,0.00498909,8.35763e-06,0.00129505
64,0.5,1.7,959.292,3.27559,3.70691,3.84718,0.689725,-1.5719,2.16811,0.611413,58.592,0.615699,0.00493699,8.17753e-06,0.00639729
128,0.5,1.8,87.1651,0.562366,7.61143,2.12271,7.12381,-1.4033,1.13939,0.0785831,30.9562,0.0406405,0.0029001,2.55985e-06,0.0416138
128,0.5,1.795,94.1213,0.607481,6.89555,1.94715,5.13692,-1.40822,1.11305,0.0813807,33.6709,0.0346215,0.00284577,2.55444e-06,0.0188617
128,0.5,1.79,105.17,0.677158,6.57731,2.31377,5.83754,-1.41457,1.12547,0.0858518,37.7067,0.0333852,0.00281311,2.53538e-06,0.0200001
128,0.5,1.65,6118.31,18.0143,1.95628,3.01202,0.0139781,-1.65975,1.42189,0.784538,6.59073,0.665281,0.00225965,1.77754e-06,-0.00592107
128,0.5,1.785,117.3,0.753108,6.14923,2.58551,5.89315,-1.4208,1.22489,0.0904492,42.2083,0.0328979,0.00275652,2.51124e-06,-0.0424162
128,0.5,1.78,129.319,0.814331,5.36081,2.39066,4.30926,-1.4263,1.21808,0.0954511,45.458,0.0604523,0.00279816,2.52622e-06,-0.00537224
128,0.5,1.645,6274.16,18.3738,1.72105,2.40774,0.00858598,-1.66688,1.35891,0.793343,5.48021,0.665536,0.0022252,1.7245e-06,-0.00172267
128,0.5,1.775,145.4,0.918569,5.04335,3.03915,5.47333,-1.43279,1.24668,0.100838,51.5436,0.0496924,0.00274897,2.39686e-06,0.0106929
128,0.5,1.77,164.766,1.03219,4.77396,3.00301,4.23221,-1.43959,1.29679,0.107081,58.6283,0.0584955,0.00275929,2.36292e-06,0.0324108
128,0.5,1.765,186.051,1.15573,4.35319,3.33144,4.1545,-1.44559,1.35108,0.113786,65.865,0.0672096,0.00268062,2.33031e-06,0.00683818
128,0.5,1.64,6418.66,18.6989,1.71444,2.25963,0.0073015,-1.67364,1.32617,0.80126,4.75185,0.665705,0.00221712,1.71378e-06,-0.00212231
