 Tiempo,InterPos2,InterNeg2,InterPN2,InterZero,InterPN,InterNZ
          81 ,                18969 ,                18792 ,                27774 ,                    0 ,                    0 ,                    0
          82 ,                18973 ,                18795 ,                27767 ,                    0 ,                    0 ,                    0
          83 ,                18960 ,                18782 ,                27793 ,                    0 ,                    0 ,                    0
          84 ,                18968 ,                18790 ,                27776 ,                    0 ,                    0 ,                    0
          85 ,                18960 ,                18782 ,                27793 ,                    0 ,                    0 ,                    0
          86 ,                19005 ,                18827 ,                27702 ,                    0 ,                    0 ,                    0
          87 ,                19025 ,                18847 ,                27662 ,                    0 ,                    0 ,                    0
          88 ,                18985 ,                18808 ,                27742 ,                    0 ,                    0 ,                    0
          89 ,                19027 ,                18849 ,                27658 ,                    0 ,                    0 ,                    0
          90 ,                18995 ,                18817 ,                27723 ,                    0 ,                    0 ,                    0
          91 ,                19032 ,                18855 ,                27648 ,                    0 ,                    0 ,                    0
          92 ,                19000 ,                18822 ,                27713 ,                    0 ,                    0 ,                    0
          93 ,                19001 ,                18823 ,                27711 ,                    0 ,                    0 ,                    0
          94 ,                19009 ,                18832 ,                27694 ,                    0 ,                    0 ,                    0
          95 ,                19032 ,                18854 ,                27649 ,                    0 ,                    0 ,                    0
          96 ,                19026 ,                18849 ,                27660 ,                    0 ,                    0 ,                    0
          97 ,                19062 ,                18884 ,                27588 ,                    0 ,                    0 ,                    0
          98 ,                19035 ,                18857 ,                27643 ,                    0 ,                    0 ,                    0
          99 ,                19053 ,                18876 ,                27606 ,                    0 ,                    0 ,                    0
         100 ,                19043 ,                18865 ,                27627 ,                    0 ,                    0 ,                    0
         101 ,                19051 ,                18874 ,                27610 ,                    0 ,                    0 ,                    0
         102 ,                19030 ,                18852 ,                27652 ,                    0 ,                    0 ,                    0
         103 ,                19008 ,                18830 ,                27697 ,                    0 ,                    0 ,                    0
         104 ,                19018 ,                18841 ,                27676 ,                    0 ,                    0 ,                    0
         105 ,                18999 ,                18821 ,                27715 ,                    0 ,                    0 ,                    0
         106 ,                18988 ,                18810 ,                27736 ,                    0 ,                    0 ,                    0
         107 ,                18996 ,                18818 ,                27721 ,                    0 ,                    0 ,                    0
         108 ,                19035 ,                18857 ,                27642 ,                    0 ,                    0 ,                    0
         109 ,                18991 ,                18813 ,                27731 ,                    0 ,                    0 ,                    0
         110 ,                18990 ,                18812 ,                27733 ,                    0 ,                    0 ,                    0
         111 ,                19011 ,                18834 ,                27690 ,                    0 ,                    0 ,                    0
         112 ,                19038 ,                18861 ,                27636 ,                    0 ,                    0 ,                    0
         113 ,                19019 ,                18841 ,                27675 ,                    0 ,                    0 ,                    0
         114 ,                18997 ,                18819 ,                27719 ,                    0 ,                    0 ,                    0
         115 ,                18996 ,                18819 ,                27720 ,                    0 ,                    0 ,                    0
         116 ,                18984 ,                18806 ,                27745 ,                    0 ,                    0 ,                    0
         117 ,                19016 ,                18839 ,                27680 ,                    0 ,                    0 ,                    0
         118 ,                19028 ,                18850 ,                27656 ,                    0 ,                    0 ,                    0
         119 ,                19020 ,                18842 ,                27673 ,                    0 ,                    0 ,                    0
         120 ,                19033 ,                18855 ,                27646 ,                    0 ,                    0 ,                    0
         121 ,                19036 ,                18858 ,                27641 ,                    0 ,                    0 ,                    0
         122 ,                19046 ,                18869 ,                27620 ,                    0 ,                    0 ,                    0
         123 ,                19039 ,                18861 ,                27634 ,                    0 ,                    0 ,                    0
         124 ,                19038 ,                18860 ,                27637 ,                    0 ,                    0 ,                    0
         125 ,                18998 ,                18820 ,                27717 ,                    0 ,                    0 ,                    0
         126 ,                19029 ,                18851 ,                27655 ,                    0 ,                    0 ,                    0
         127 ,                19035 ,                18857 ,                27643 ,                    0 ,                    0 ,                    0
         128 ,                19051 ,                18873 ,                27611 ,                    0 ,                    0 ,                    0
         129 ,                19017 ,                18840 ,                27678 ,                    0 ,                    0 ,                    0
         130 ,                19015 ,                18838 ,                27682 ,                    0 ,                    0 ,                    0
         131 ,                18974 ,                18797 ,                27764 ,                    0 ,                    0 ,                    0
         132 ,                18997 ,                18820 ,                27718 ,                    0 ,                    0 ,                    0
         133 ,                18975 ,                18798 ,                27762 ,                    0 ,                    0 ,                    0
         134 ,                18972 ,                18794 ,                27769 ,                    0 ,                    0 ,                    0
         135 ,                19016 ,                18838 ,                27680 ,                    0 ,                    0 ,                    0
         136 ,                18957 ,                18779 ,                27799 ,                    0 ,                    0 ,                    0
         137 ,                18943 ,                18765 ,                27827 ,                    0 ,                    0 ,                    0
         138 ,                18956 ,                18779 ,                27800 ,                    0 ,                    0 ,                    0
         139 ,                18961 ,                18784 ,                27790 ,                    0 ,                    0 ,                    0
         140 ,                18988 ,                18810 ,                27736 ,                    0 ,                    0 ,                    0
         141 ,                18965 ,                18788 ,                27782 ,                    0 ,                    0 ,                    0
         142 ,                18960 ,                18783 ,                27792 ,                    0 ,                    0 ,                    0
         143 ,                18949 ,                18771 ,                27815 ,                    0 ,                    0 ,                    0
         144 ,                18951 ,                18773 ,                27811 ,                    0 ,                    0 ,                    0
         145 ,                18970 ,                18792 ,                27772 ,                    0 ,                    0 ,                    0
         146 ,                18963 ,                18785 ,                27786 ,                    0 ,                    0 ,                    0
         147 ,                18967 ,                18790 ,                27778 ,                    0 ,                    0 ,                    0
         148 ,                18966 ,                18788 ,                27781 ,                    0 ,                    0 ,                    0
         149 ,                18967 ,                18789 ,                27779 ,                    0 ,                    0 ,                    0
         150 ,                18981 ,                18803 ,                27751 ,                    0 ,                    0 ,                    0
         151 ,                19006 ,                18829 ,                27700 ,                    0 ,                    0 ,                    0
         152 ,                18992 ,                18815 ,                27728 ,                    0 ,                    0 ,                    0
         153 ,                18996 ,                18819 ,                27720 ,                    0 ,                    0 ,                    0
         154 ,                18985 ,                18808 ,                27742 ,                    0 ,                    0 ,                    0
         155 ,                18983 ,                18806 ,                27746 ,                    0 ,                    0 ,                    0
         156 ,                18998 ,                18821 ,                27716 ,                    0 ,                    0 ,                    0
         157 ,                19008 ,                18830 ,                27696 ,                    0 ,                    0 ,                    0
         158 ,                19005 ,                18827 ,                27703 ,                    0 ,                    0 ,                    0
         159 ,                18948 ,                18770 ,                27817 ,                    0 ,                    0 ,                    0
         160 ,                18957 ,                18779 ,                27798 ,                    0 ,                    0 ,                    0
         161 ,                18989 ,                18811 ,                27735 ,                    0 ,                    0 ,                    0
         162 ,                19008 ,                18831 ,                27696 ,                    0 ,                    0 ,                    0
         163 ,                18979 ,                18801 ,                27755 ,                    0 ,                    0 ,                    0
         164 ,                19017 ,                18839 ,                27679 ,                    0 ,                    0 ,                    0
         165 ,                19021 ,                18844 ,                27670 ,                    0 ,                    0 ,                    0
         166 ,                19009 ,                18831 ,                27694 ,                    0 ,                    0 ,                    0
         167 ,                19017 ,                18840 ,                27678 ,                    0 ,                    0 ,                    0
         168 ,                19030 ,                18852 ,                27653 ,                    0 ,                    0 ,                    0
         169 ,                18999 ,                18821 ,                27714 ,                    0 ,                    0 ,                    0
         170 ,                18994 ,                18816 ,                27724 ,                    0 ,                    0 ,                    0
         171 ,                18998 ,                18821 ,                27716 ,                    0 ,                    0 ,                    0
         172 ,                18986 ,                18808 ,                27741 ,                    0 ,                    0 ,                    0
         173 ,                18976 ,                18798 ,                27761 ,                    0 ,                    0 ,                    0
         174 ,                18991 ,                18813 ,                27730 ,                    0 ,                    0 ,                    0
         175 ,                18958 ,                18781 ,                27796 ,                    0 ,                    0 ,                    0
         176 ,                18969 ,                18791 ,                27775 ,                    0 ,                    0 ,                    0
         177 ,                18986 ,                18808 ,                27741 ,                    0 ,                    0 ,                    0
         178 ,                18976 ,                18799 ,                27760 ,                    0 ,                    0 ,                    0
         179 ,                18984 ,                18806 ,                27745 ,                    0 ,                    0 ,                    0
         180 ,                18974 ,                18796 ,                27764 ,                    0 ,                    0 ,                    0
         181 ,                19001 ,                18823 ,                27710 ,                    0 ,                    0 ,                    0
         182 ,                18973 ,                18795 ,                27766 ,                    0 ,                    0 ,                    0
