Temperatura,Energia,Energia2,Cv,magnetFerro,magnetFerro2,magnetFerro4,susceptFerro,cumulantFerro,magnetAnti,magnetAnti2,magnetAnti4,susceptAnti,cumulantAnti 
   2.25000000     ,  -1.4825394999999999      ,   3.0189344999999999      ,  0.16217503941861919      ,   4.4737500000000002E-004 ,  0.59330265771484370      ,  0.39533471114023588      ,  0.26368998310706704      ,  0.62563854303507704      ,   1.8778882812500002E-002 ,   5.7391906738281254E-004 ,   1.0639692544937134E-006 ,   9.8343390820361821E-005 ,  -7.6729269960732260E-002
   2.25500011     ,  -1.4812639999999999      ,   3.0256409999999998      ,  0.16351892997045364      ,  0.76690386718750003      ,  0.60664256927490234      ,  0.40234747802537679      ,   8.2044462471492410E-003 ,  0.63556988291588778      ,   1.8732101562499999E-002 ,   5.7246832275390620E-004 ,   1.0603486411273480E-006 ,   9.8260166774143497E-005 ,  -7.8510864095441724E-002
   2.25999999     ,  -1.4635410000000000      ,   2.9758779999999998      ,  0.16327154379533090      ,   4.1290625000000002E-004 ,  0.56727400683593754      ,  0.37441430167117529      ,  0.25100612556771701      ,  0.61216641766802393      ,   1.9065132812500000E-002 ,   5.8524951171874998E-004 ,   1.0828704163432121E-006 ,   9.8128418348921944E-005 ,  -5.3836196973059636E-002
   2.26195002     ,  -1.4662984999999999      ,   2.9861124999999999      ,  0.16341143105085848      ,  0.74488128515624996      ,  0.58305876156616210      ,  0.38299220729100147      ,   1.2471819453479423E-002 ,  0.62447051965510625      ,   1.9140839843750000E-002 ,   5.9089608764648441E-004 ,   1.1114451270550489E-006 ,   9.9261404154578602E-005 ,  -6.1071198736140531E-002
   2.26500010     ,  -1.4594615000000000      ,   2.9804355000000000      ,  0.16576418263963522      ,  0.61649747265624999      ,  0.56910026876831055      ,  0.37091004017556833      ,   8.3457450432978461E-002 ,  0.61825816036039938      ,   1.9171113281249999E-002 ,   5.9283114624023438E-004 ,   1.1049159597605466E-006 ,   9.9470000080227594E-005 ,  -4.7963060653896550E-002
   2.26909995     ,  -1.4634920000000000      ,   2.9896240000000001      ,  0.16466219957306136      ,   9.7677734375000011E-004 ,  0.57800006411743166      ,  0.37478492301224359      ,  0.25472615115125219      ,  0.62605727867770811      ,   1.9081355468749998E-002 ,   5.9246463012695312E-004 ,   1.1096517164260149E-006 ,   1.0064188595737786E-004 ,  -5.3757290552264525E-002
   2.26910496     ,  -1.4634990000000001      ,   2.9896590000000001      ,  0.16466429778594963      ,   3.2503125000000002E-004 ,  0.57798524707031251      ,  0.37477400401118954      ,  0.25471944393336354      ,  0.62604900301290500      ,   1.9080953125000001E-002 ,   5.9244738769531245E-004 ,   1.1095678508281708E-006 ,   1.0064083609518672E-004 ,  -5.3738967065981136E-002
   2.26910996     ,  -1.4635330000000000      ,   2.9896780000000001      ,  0.16464792679902399      ,   1.6223007812499999E-003 ,  0.57800487490844732      ,  0.37478957274171709      ,  0.25472641220838138      ,  0.62605886618877404      ,   1.9080324218750000E-002 ,   5.9242520141601564E-004 ,   1.1095407027751207E-006 ,   1.0064141075409168E-004 ,  -5.3792144382007523E-002
   2.26911497     ,  -1.4635149999999999      ,   2.9896219999999998      ,  0.16464655065017866      ,   8.1259765624999995E-004 ,  0.57796946273803707      ,  0.37475562791752443      ,  0.25471110645823691      ,  0.62604692207193025      ,   1.9080980468750001E-002 ,   5.9245590209960940E-004 ,   1.1095931138843298E-006 ,   1.0064367934772371E-004 ,  -5.3732696722476936E-002
   2.26911998     ,  -1.4634995000000000      ,   2.9895584999999998      ,  0.16464232185139033      ,   5.2804687499999998E-004 ,  0.57797226733398432      ,  0.37475814604579843      ,  0.25471195936691132      ,  0.62604801246614561      ,   1.9081203125000001E-002 ,   5.9246472167968748E-004 ,   1.1096686869859695E-006 ,   1.0064360369454750E-004 ,  -5.3773064988733799E-002
   2.26912498     ,  -1.4634920000000000      ,   2.9896240000000001      ,  0.16465857377852217      ,   9.7677734375000011E-004 ,  0.57800006411743166      ,  0.37478492301224359      ,  0.25472334335957408      ,  0.62605727867770811      ,   1.9081355468749998E-002 ,   5.9246463012695312E-004 ,   1.1096517164260149E-006 ,   1.0064077660347531E-004 ,  -5.3757290552264525E-002
   2.26912999     ,  -1.4634990000000001      ,   2.9896590000000001      ,  0.16466067192935194      ,   3.2503125000000002E-004 ,  0.57798524707031251      ,  0.37477400401118954      ,  0.25471663620954177      ,  0.62604900301290500      ,   1.9080953125000001E-002 ,   5.9244738769531245E-004 ,   1.1095678508281708E-006 ,   1.0063972675045597E-004 ,  -5.3738967065981136E-002
   2.26913500     ,  -1.4635330000000000      ,   2.9896780000000001      ,  0.16464430128677690      ,   1.6223007812499999E-003 ,  0.57800487490844732      ,  0.37478957274171709      ,  0.25472360440148367      ,  0.62605886618877404      ,   1.9080324218750000E-002 ,   5.9242520141601564E-004 ,   1.1095407027751207E-006 ,   1.0064030140055093E-004 ,  -5.3792144382007523E-002
   2.26914001     ,  -1.4635149999999999      ,   2.9896219999999998      ,  0.16464292515210066      ,   8.1259765624999995E-004 ,  0.57796946273803707      ,  0.37475562791752443      ,  0.25470829881378643      ,  0.62604692207193025      ,   1.9080980468750001E-002 ,   5.9245590209960940E-004 ,   1.1095931138843298E-006 ,   1.0064256996670091E-004 ,  -5.3732696722476936E-002
   2.26914501     ,  -1.4634995000000000      ,   2.9895584999999998      ,  0.16463868379872582      ,   5.2804687499999998E-004 ,  0.57797226733398432      ,  0.37475814604579843      ,  0.25470915170698355      ,  0.62604801246614561      ,   1.9081203125000001E-002 ,   5.9246472167968748E-004 ,   1.1096686869859695E-006 ,   1.0064249431195792E-004 ,  -5.3773064988733799E-002
   2.26915002     ,  -1.4634920000000000      ,   2.9896020000000001      ,  0.16465066271103948      ,   1.8053359375000001E-003 ,  0.57798206854248046      ,  0.37477325142954104      ,  0.25471158917008951      ,  0.62604561721438523      ,   1.9081070312500000E-002 ,   5.9244195556640625E-004 ,   1.1095538176596165E-006 ,   1.0063447045509782E-004 ,  -5.3744980760541461E-002
