Temperatura,Energia,Energia2,Cv,magnetFerro,magnetFerro2,magnetFerro4,susceptFerro,cumulantFerro,magnetAnti,magnetAnti2,magnetAnti4,susceptAnti,cumulantAnti 
   2.26909995     ,  -1.4298530000000000      ,   2.9230960000000001      ,  0.17064439815758672      ,   8.9032721435546872E-002 ,  0.45546961107432843      ,  0.22163441856849936      ,  0.19723361034888692      ,  0.64387938114241772      ,   5.0181516113281246E-003 ,   3.9073202490806583E-005 ,   4.4033589275329632E-009 ,   6.1219676901895324E-006 ,   3.8598482270786771E-002
   2.26912498     ,  -1.4298530000000000      ,   2.9230960000000001      ,  0.17064064063747225      ,   8.9032721435546872E-002 ,  0.45546961107432843      ,  0.22163441856849936      ,  0.19723143628514325      ,  0.64387938114241772      ,   5.0181516113281246E-003 ,   3.9073202490806583E-005 ,   4.4033589275329632E-009 ,   6.1219002090539814E-006 ,   3.8598482270786771E-002
   2.26915503     ,  -1.4298530000000000      ,   2.9230960000000001      ,  0.17063611066548759      ,   8.9032721435546872E-002 ,  0.45546961107432843      ,  0.22163441856849936      ,  0.19722882207352510      ,  0.64387938114241772      ,   5.0181516113281246E-003 ,   3.9073202490806583E-005 ,   4.4033589275329632E-009 ,   6.1218190660934412E-006 ,   3.8598482270786771E-002
   2.26918006     ,  -1.4291259999999999      ,   2.9215990000000001      ,  0.17074527946232471      ,   7.3822593017578125E-002 ,  0.45368408046543596      ,  0.22007915962754224      ,  0.19753139228122693      ,  0.64358941977998874      ,   5.0212072753906250E-003 ,   3.9130185246467593E-005 ,   4.4187764056289322E-009 ,   6.1333442511623668E-006 ,   3.8040072907170153E-002
   2.26910496     ,  -1.4291430000000001      ,   2.9216350000000002      ,  0.17075414036157380      ,  0.20212833862304688      ,  0.45403343324601653      ,  0.22067709302920779      ,  0.18208834936476939      ,  0.64317084614905329      ,   5.0197590332031247E-003 ,   3.9094514250755310E-005 ,   4.4049153827643295E-009 ,   6.1242357836810590E-006 ,   3.9306855186296619E-002
   2.26912999     ,  -1.4291430000000001      ,   2.9216350000000002      ,  0.17075038040853757      ,  0.20212833862304688      ,  0.45403343324601653      ,  0.22067709302920779      ,  0.18208634223964271      ,  0.64317084614905329      ,   5.0197590332031247E-003 ,   3.9094514250755310E-005 ,   4.4049153827643295E-009 ,   6.1241682773987176E-006 ,   3.9306855186296619E-002
   2.26916003     ,  -1.4291430000000001      ,   2.9216350000000002      ,  0.17074586060436514      ,  0.20212833862304688      ,  0.45403343324601653      ,  0.22067709302920779      ,  0.18208392876403023      ,  0.64317084614905329      ,   5.0197590332031247E-003 ,   3.9094514250755310E-005 ,   4.4049153827643295E-009 ,   6.1240871042003192E-006 ,   3.9306855186296619E-002
   2.26918507     ,  -1.4284645000000000      ,   2.9200824999999999      ,  0.17081712573741778      ,   3.1495115234375003E-002 ,  0.45140480829882623      ,  0.21819957852919436      ,  0.19849102790737630      ,  0.64305584085665712      ,   5.0272075195312502E-003 ,   3.9216100454330447E-005 ,   4.4352722312055445E-009 ,   6.1446223739242571E-006 ,   3.8675057230690646E-002
   2.26910996     ,  -1.4292425000000000      ,   2.9220765000000002      ,  0.17078389030028165      ,  0.16821976196289062      ,  0.45459994196283815      ,  0.22096576824079273      ,  0.18787192255529314      ,  0.64359400853544946      ,   5.0188210449218749E-003 ,   3.9085964798927310E-005 ,   4.4064109878547695E-009 ,   6.1246040368371443E-006 ,   3.8560236765003864E-002
   2.26913500     ,  -1.4292425000000000      ,   2.9220765000000002      ,  0.17078012967542638      ,  0.16821976196289062      ,  0.45459994196283815      ,  0.22096576824079273      ,  0.18786985167432146      ,  0.64359400853544946      ,   5.0188210449218749E-003 ,   3.9085964798927310E-005 ,   4.4064109878547695E-009 ,   6.1245365263449619E-006 ,   3.8560236765003864E-002
   2.26916504     ,  -1.4292425000000000      ,   2.9220765000000002      ,  0.17077559596044406      ,  0.16821976196289062      ,  0.45459994196283815      ,  0.22096576824079273      ,  0.18786736153523895      ,  0.64359400853544946      ,   5.0188210449218749E-003 ,   3.9085964798927310E-005 ,   4.4064109878547695E-009 ,   6.1244553480844227E-006 ,   3.8560236765003864E-002
   2.26919007     ,  -1.4278700000000000      ,   2.9187520000000000      ,  0.17088775317968191      ,  0.31644647949218752      ,  0.44916443067121503      ,  0.21683250939494517      ,  0.15381085066186839      ,  0.64174486840892686      ,   5.0258691406250000E-003 ,   3.9192677021026609E-005 ,   4.4320132458040003E-009 ,   6.1402156365516815E-006 ,   3.8232858978914375E-002
   2.26911497     ,  -1.4288130000000001      ,   2.9207610000000002      ,  0.17076604599416340      ,   5.4283425048828125E-002 ,  0.45327699085915091      ,  0.22002332644895364      ,  0.19846076235041121      ,  0.64303953346036558      ,   5.0205891113281253E-003 ,   3.9118820309638976E-005 ,   4.4152318159547122E-009 ,   6.1312472227813915E-006 ,   3.8253197694992469E-002
   2.26914001     ,  -1.4288130000000001      ,   2.9207610000000002      ,  0.17076228574550287      ,   5.4283425048828125E-002 ,  0.45327699085915091      ,  0.22002332644895364      ,  0.19845857474553677      ,  0.64303953346036558      ,   5.0205891113281253E-003 ,   3.9118820309638976E-005 ,   4.4152318159547122E-009 ,   6.1311796389116538E-006 ,   3.8253197694992469E-002
